ingresos;gastos_comunes;pago_clases;gastos_otros;ahorros;instrumento;estado_civil;hijos;trabajo;credito
4083;448;110;485;10289;37998;1;0;22;0
6529;304;355;413;11964;31070;2;1;16;0
4700;459;371;352;8812;39112;6;5;17;0
4073;113;453;278;8340;35373;4;0;24;0
4548;181;357;415;11632;41656;8;2;23;1
4849;255;456;168;10207;39792;1;3;22;1
6077;440;455;340;8707;34288;5;0;27;0
4183;382;436;153;10594;34010;8;2;29;0
5866;358;406;192;9960;37134;7;5;8;0
5771;109;339;380;11271;42840;2;0;27;0
5974;325;100;184;9583;46180;7;2;28;0
4225;447;190;112;10386;36615;7;3;28;1
6825;309;486;227;8214;33393;0;3;29;1
6846;424;365;241;9228;40388;2;1;18;0
4176;106;239;480;8870;43018;3;5;30;0
5271;111;120;471;10466;32281;7;1;22;0
4297;446;110;145;9594;41419;4;2;23;1
5855;101;220;395;9474;43343;2;4;3;1
5782;258;203;176;9909;37392;2;1;5;1
5103;483;258;159;8488;36650;6;1;17;1
5558;131;317;422;9360;37352;3;3;7;0
5256;204;177;486;9145;40271;0;5;9;0
5443;485;125;198;10568;31252;5;0;14;0
6460;315;113;421;8997;46664;4;2;29;0
6060;379;304;277;9905;41076;2;0;9;1
6649;129;374;180;11587;37601;3;2;14;1
5494;309;242;188;8505;46685;7;3;22;0
4374;389;291;350;10156;44668;5;5;29;1
4389;211;263;304;8607;39707;1;3;19;1
5794;141;204;493;11065;41966;0;0;17;1
4891;155;350;197;9460;42940;8;0;23;0
6288;219;258;235;11490;36950;6;1;4;1
6672;397;324;161;10804;35984;0;4;17;0
6642;370;199;407;8764;33151;1;2;3;0
6925;435;114;373;10313;37998;7;2;27;1
6801;102;230;399;8510;36485;7;2;21;0
4736;157;338;189;8292;46908;6;5;2;1
5571;268;483;199;9446;37503;0;4;9;0
6189;436;488;496;11137;37396;3;2;20;1
5633;138;283;361;11724;33368;7;3;29;1
4088;203;469;354;8259;46828;7;1;27;1
6419;280;207;385;9327;45595;7;4;25;0
6952;120;197;266;11657;42439;6;3;6;1
6607;165;421;391;8713;46923;8;2;3;1
6167;260;447;337;10781;38558;5;0;24;0
6223;366;236;222;9042;40275;0;0;11;0
5167;120;357;365;8115;42977;1;2;30;0
4139;406;414;416;10579;43394;8;2;25;1
4961;220;225;455;11252;35271;1;3;19;0
4595;227;144;150;10545;31409;8;0;14;1
4742;299;250;289;11892;41468;7;4;19;1
4633;309;317;313;11451;43510;5;0;17;0
4912;390;256;416;8055;45061;8;1;14;1
6968;206;317;418;9883;43522;0;4;25;0
4144;131;498;141;11039;34784;8;4;7;0
6290;226;105;392;11414;43133;2;3;7;0
4963;419;442;217;9262;35467;6;0;29;1
5645;226;410;383;10091;46027;0;3;6;0
5177;153;328;304;10382;31145;0;1;6;0
5062;194;223;135;11437;40979;6;0;26;1
6688;122;331;408;9157;38498;1;1;19;1
6112;226;309;375;8565;35223;0;0;23;0
6898;494;381;329;10702;36952;5;4;5;0
6393;471;393;191;10789;40019;7;1;27;0
5288;296;165;297;9682;44298;1;4;28;1
4700;278;410;260;10979;43013;0;2;26;0
5669;150;434;207;10917;37939;4;5;2;0
5304;317;379;412;9555;33959;5;3;12;0
4797;444;336;404;9570;37611;3;4;26;0
5941;254;373;279;8248;34462;8;4;23;1
6266;410;186;352;10674;39080;8;0;21;0
4265;165;264;288;10600;45555;0;4;13;0
