ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,trabajo,credito
721,106,31,467,845,1334,0,0,2,1
925,38,50,100,610,1443,2,0,5,0
1168,31,35,173,753,1015,2,1,8,0
2426,54,44,372,795,1306,0,3,5,0
1369,68,72,48,768,1020,2,3,4,0
1499,62,25,322,661,1457,0,0,2,1
2209,75,90,220,674,1183,1,3,2,1
766,62,36,38,604,1389,2,2,4,0
1327,51,100,241,884,1309,0,3,3,1
1454,51,93,352,614,1343,0,2,8,0
987,70,36,187,741,1086,2,1,8,1
781,60,16,324,621,1388,1,1,0,0
526,37,49,155,664,1019,2,1,5,1
928,104,95,212,822,1230,2,3,8,1
1395,33,98,140,943,1223,2,1,0,0
1845,28,100,187,875,1070,1,2,6,0
1045,81,54,500,774,1043,0,1,5,1
1769,32,29,242,618,1084,0,2,8,0
366,71,23,138,820,1055,0,3,0,1
698,75,82,102,949,1471,0,2,5,1
640,69,18,399,914,1263,0,2,0,1
2077,82,18,119,926,1160,0,0,2,1
2036,83,50,280,616,1239,0,1,4,1
799,101,37,141,717,1409,1,1,8,1
1777,26,47,210,906,1087,2,1,4,0
1361,113,82,386,642,1387,0,2,0,0
2466,78,36,284,677,1311,0,2,5,1
1104,114,69,163,937,1160,1,2,4,1
2498,54,16,35,622,1394,2,2,7,1
1826,44,48,490,644,1467,1,2,1,1
997,113,30,451,906,1051,2,0,8,0
798,109,89,206,714,1442,2,2,0,0
1210,104,76,228,611,1175,2,3,5,1
850,42,81,414,877,1286,1,2,8,1
1211,52,81,284,695,1481,2,1,4,0
1366,79,24,276,663,1494,1,1,1,0
1012,84,83,443,798,1196,2,2,2,1
1144,89,27,162,711,1354,2,3,3,0
1143,57,91,182,719,1243,1,3,0,0
2004,48,65,429,812,1063,2,2,3,0
1738,61,16,29,745,1417,1,3,7,0
465,37,41,296,605,1254,2,2,4,1
2399,103,83,466,773,1051,0,3,7,0
2074,63,85,485,667,1445,2,2,3,0
1569,63,90,122,638,1064,2,2,8,1
1891,87,24,414,667,1364,2,0,1,0
732,30,85,381,835,1066,1,3,8,0
1093,31,98,249,710,1012,0,0,2,0
1692,80,29,433,853,1420,0,0,4,1
1676,95,52,237,941,1202,1,0,5,1
1568,76,53,500,684,1239,2,3,3,0
1736,97,47,82,672,1052,2,0,5,1
1681,53,29,283,834,1310,0,2,7,1
850,33,27,437,738,1404,1,3,4,1
2009,58,21,412,795,1375,2,2,0,1
762,111,85,68,604,1174,1,1,6,0
948,64,88,216,690,1230,1,0,6,0
799,35,75,476,848,1436,2,1,3,1
2265,89,65,147,694,1090,2,1,7,0
645,110,18,293,643,1477,0,2,5,0
368,48,83,37,903,1235,2,2,3,1
1365,76,66,453,782,1472,0,3,8,1
1587,116,91,287,642,1388,1,2,1,0
2498,36,58,416,689,1225,2,2,3,0
1251,48,28,160,637,1354,2,2,5,1
841,65,51,70,638,1343,2,2,0,1
1493,68,86,87,733,1319,0,3,0,0
1944,56,47,189,608,1204,0,2,5,1
1173,72,51,305,887,1352,0,3,1,0
1156,85,77,56,684,1050,2,3,0,1
1295,61,86,208,852,1193,1,3,0,0
2352,108,31,155,653,1032,2,0,0,1
1996,93,92,451,885,1070,0,1,0,0
2321,106,58,70,874,1282,2,3,4,0
999,107,70,264,798,1396,1,3,7,1
1974,39,29,477,662,1203,2,3,1,1
1070,62,76,55,898,1441,2,2,6,0
1573,29,49,95,785,1065,1,3,3,0
502,52,50,59,786,1092,1,2,6,0
758,107,75,473,868,1066,1,2,8,0
2452,81,63,306,825,1158,0,1,6,1
1192,60,91,346,899,1237,0,3,8,1
1826,46,59,39,639,1401,0,2,4,0
1203,99,70,475,781,1173,0,2,8,1
1324,81,33,61,756,1128,2,1,5,0
1913,59,32,476,822,1008,1,2,0,0
1622,104,91,154,760,1380,1,0,7,0
457,89,46,290,670,1021,0,3,8,0
677,95,57,311,678,1489,1,3,2,1
1934,98,39,113,629,1223,2,2,2,1
1651,115,58,481,611,1377,0,1,2,0
728,84,27,63,728,1248,1,3,3,1
1821,99,53,77,678,1031,2,3,0,0
1239,101,91,178,920,1004,1,1,3,1
1247,90,94,358,724,1035,2,0,2,0
2492,77,27,216,728,1428,0,2,6,1
2152,37,48,61,849,1212,1,3,2,1
628,75,23,163,651,1130,0,0,3,0
1486,55,52,335,804,1350,2,3,5,0
2380,51,94,286,730,1242,0,0,3,1
1082,68,15,171,670,1120,2,2,3,1
1746,72,100,296,640,1179,0,2,7,1
1568,110,74,329,922,1274,0,0,0,0
1309,120,53,162,675,1281,0,1,5,0
821,116,44,183,777,1372,2,1,7,1
1716,66,39,260,636,1316,1,0,7,1
2420,56,56,459,876,1100,2,2,0,0
1524,25,17,412,871,1442,1,1,2,0
1542,54,47,466,920,1162,0,3,1,0
370,53,24,88,766,1359,1,1,8,0
2282,55,96,399,884,1168,2,3,1,1
809,106,78,474,648,1024,2,3,7,0
2452,31,100,246,723,1187,0,3,6,0
1191,89,83,442,880,1364,2,3,8,1
1059,92,86,425,838,1174,0,0,3,0
1873,83,67,415,610,1328,1,0,3,1
2269,46,49,459,917,1091,2,2,7,1
589,55,23,364,938,1449,0,0,8,1
