ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,trabajo,credito
7400,791,537,748,47951,301791,0,2,3,0
6361,816,525,729,33835,670309,2,4,4,0
7817,431,243,446,46797,389840,2,5,0,1
6009,435,597,402,38827,674609,1,5,6,0
5547,402,457,348,21952,412634,0,0,5,0
2587,867,129,460,52990,564602,1,1,2,1
2099,461,570,514,57900,313464,2,2,6,1
6868,634,335,484,42663,168738,1,0,3,0
6194,498,428,775,61342,175526,0,0,5,1
3989,430,99,205,65806,624075,0,2,4,1
3664,518,283,454,61841,252518,1,2,3,1
7383,398,6,313,21838,424769,1,0,6,0
6180,341,356,286,10659,531787,0,2,4,1
2820,944,117,282,24080,448495,2,2,8,1
4397,571,186,779,37004,235320,1,3,7,1
5672,387,573,245,17653,663664,1,4,6,0
4451,871,115,270,22153,513627,0,0,3,1
2818,527,385,438,65499,173590,1,3,8,0
7001,908,115,1062,16297,632393,1,0,6,0
6479,1878,18,179,48880,718628,0,2,4,1
6030,1216,51,572,43871,55993,2,2,8,1
6487,1812,123,47,59399,139142,0,3,6,1
7801,1755,81,413,39516,696052,0,5,3,0
6821,938,35,189,39824,195794,2,4,4,0
6435,765,10,836,13680,505240,2,2,3,0
7032,824,120,545,10818,406826,2,5,7,1
7542,1725,20,555,50240,503345,1,4,7,0
6814,1720,76,1020,17887,760583,0,3,4,1
6637,1153,70,545,54202,429982,1,5,7,1
7342,1242,101,147,33787,81833,1,1,7,0
6544,957,117,1095,44465,78982,1,2,5,0
7237,1604,45,424,8620,570010,0,3,7,0
7876,834,37,492,29294,173917,0,5,2,1
7586,1539,27,54,12667,484268,0,5,0,0
7786,1015,128,88,11849,854149,2,3,8,1
7674,1116,661,1008,19959,652746,2,5,7,1
6500,1303,63,214,14986,504420,0,4,8,1
7073,1818,388,628,40083,198244,1,4,8,0
6000,1000,0,600,50000,400000,0,2,2,1
6745,944,123,429,43240,636897,1,3,6,0
6455,1033,98,795,57463,321779,2,1,8,1
7098,1278,15,254,54506,660933,0,0,3,0
6167,863,223,520,41512,348932,0,0,3,1
6000,1000,0,600,50000,400000,0,2,2,1
6745,944,123,429,43240,636897,1,3,6,0
6455,1033,98,795,57463,321779,2,1,8,1
7098,1278,15,254,54506,660933,0,0,3,0
6167,863,223,520,41512,348932,0,0,3,1
5692,911,11,325,50875,360863,1,4,5,1
6830,1298,345,309,46761,429812,1,1,5,1
6470,1035,39,782,57439,606291,0,0,1,0
6251,1250,209,571,50503,291010,0,0,3,1
6987,1258,252,245,40611,324098,2,1,7,1
7273,1455,303,201,39340,577972,0,0,0,0
5058,1012,74,463,51836,427334,2,0,2,0
5663,793,121,225,67971,524971,2,3,6,1
6139,921,210,387,65438,333239,1,3,8,1
7567,1059,341,339,42462,641963,2,2,5,0
5749,690,291,698,50257,305122,2,0,4,1
5685,910,182,271,66947,365809,1,2,8,1
6722,807,52,779,66020,593711,2,2,7,0
7705,1387,348,366,65410,597411,0,0,2,0
6038,966,53,270,69636,286581,1,1,7,1
6840,889,127,263,50080,455906,2,0,0,0
6519,782,274,232,69934,569270,2,1,8,1
7831,1096,315,229,62661,653266,0,0,1,0
6717,806,265,260,49606,295710,2,1,8,1
5099,867,73,336,40451,340230,0,0,1,1
5897,1061,273,499,64423,435700,0,0,3,0
5294,688,71,725,48188,444817,1,4,5,0
6148,1168,93,413,68048,512193,0,0,4,0
7939,1350,69,552,52197,443279,0,0,4,1
7287,874,143,525,40079,297363,1,4,8,1
7422,1336,230,418,48257,338751,2,1,8,1
6381,766,333,571,43227,560508,1,0,2,0
5163,620,99,696,64331,669540,2,3,5,0
5458,1037,109,393,38791,496089,0,0,0,0
7349,1102,221,402,48110,346403,0,0,3,1
7174,1220,171,824,39913,486401,2,1,6,1
7276,1455,285,384,61125,443008,0,0,0,0
7984,958,181,828,47359,397624,1,3,6,1
6025,964,187,567,63892,302117,1,2,5,1
6692,1205,132,641,64832,553305,1,2,7,0
6822,1296,81,786,50433,669054,0,0,0,0
6044,967,239,615,66145,395608,1,1,5,1
5218,626,2,470,63208,631366,1,1,7,0
7413,890,262,709,68843,619056,2,3,7,1
6952,1043,251,319,43326,545659,0,0,3,0
5515,993,156,247,50121,286808,1,0,4,1
5126,615,258,514,41683,313057,0,0,4,1
5536,720,174,285,49221,357007,1,2,5,1
7180,862,258,268,50418,386817,2,1,6,1
6959,1392,333,818,67714,571076,0,0,3,0
4952,1585,53,566,29597,261983,1,2,7,1
2928,820,25,577,28184,290076,1,1,8,0
2036,550,403,617,32738,224583,2,1,7,0
3961,951,423,366,10746,265455,1,3,5,0
2516,755,64,601,16649,262250,0,0,1,0
3382,710,94,357,24576,228510,1,4,7,1
4119,906,251,643,24196,288956,2,0,3,0
3951,1027,443,569,24268,233354,1,0,1,0
4792,1198,90,655,32444,335019,0,0,0,0
3731,1045,320,304,39448,349870,0,0,1,0
4736,947,21,647,26689,212121,2,3,7,1
4433,1374,337,538,11171,380195,1,1,7,0
4909,1424,323,610,16475,341337,0,0,1,0
3105,559,318,690,31271,317379,1,3,8,0
2138,449,228,617,13923,398611,0,0,1,0
2274,728,161,378,26207,196232,2,1,6,0
2032,569,348,513,17902,209280,2,1,8,0
3361,1008,63,746,25404,254237,0,0,3,0
3043,578,290,460,28647,229343,2,1,5,0
3473,660,107,428,25235,182365,0,0,4,1
3162,822,64,453,26270,216440,2,2,6,0
4473,1208,308,684,23830,281640,1,1,8,0
2937,705,437,405,13268,177774,2,1,7,0
4553,1502,18,745,28731,301332,1,1,8,0
3733,821,188,514,15647,365570,0,0,1,0
2409,554,392,435,29014,298841,2,3,8,0
2369,474,131,438,19537,203052,0,0,1,0
4503,1441,224,685,26001,289485,2,4,8,0
4606,1336,54,532,10319,365449,1,3,6,0
3806,761,198,524,21906,266681,2,0,2,0
3218,611,222,341,39174,330991,2,1,6,0
4927,1429,141,398,33863,279323,0,0,3,0
3784,1173,448,394,17709,176553,2,0,0,0
3437,687,56,623,11642,393544,2,0,2,0
4648,1116,419,686,24874,191190,1,3,8,1
4799,1344,205,339,11116,240479,2,3,6,1
3976,1153,394,366,11697,218574,1,0,3,0
3299,627,155,526,11972,220179,2,4,8,0
4224,972,428,718,18604,316114,1,1,6,0
3000,600,200,398,27572,254359,0,0,2,0
2828,707,364,631,36993,394390,0,0,0,0
2825,904,247,693,16953,257331,2,2,7,0
4426,1328,152,480,11593,245454,2,1,7,1
4532,816,224,383,13921,245131,0,0,2,1
2448,636,158,638,32723,362523,0,0,4,0
4517,1310,89,529,25960,227634,2,2,6,1
4505,1171,343,627,37943,266595,0,0,4,0
3080,585,285,521,16260,377254,0,0,4,0
3543,992,91,372,30918,327691,1,4,6,0
2039,387,258,362,25537,210701,0,0,4,0
3437,687,201,735,21260,339501,2,2,5,0
6500,1100,0,700,55000,380000,2,1,5,1
6762,1285,338,215,61728,636597,2,0,3,0
5813,756,108,500,58055,328265,2,1,5,1
5415,1083,84,754,68327,345689,1,2,5,1
5572,1114,87,727,56337,559220,2,3,5,0
6412,769,137,510,47203,311855,1,3,5,1
6503,1301,295,716,55798,279795,1,4,6,1
5558,889,168,679,61867,449413,1,2,5,1
7063,918,293,364,63395,278315,1,2,8,1
6152,984,343,793,42935,403197,1,4,8,1
6906,898,319,656,59305,365986,2,4,5,1
7595,1367,292,406,38286,608743,2,0,3,0
4764,288,502,552,25189,595866,2,4,5,0
