ingresos;gastos_comunes;pago_clases;gastos_otros;ahorros;instrumento;estado_civil;hijos;trabajo;credito
721;173;31;467;1932;1542;0;2;2;1
925;185;50;100;2282;908;2;5;5;0
1168;233;35;173;7447;371;0;1;8;0
2426;131;44;372;6768;1092;1;1;5;0
1369;82;72;48;3870;883;2;5;4;0
1499;88;25;322;2646;1750;1;3;2;1
2209;236;90;220;6976;770;1;5;2;1
766;177;36;38;6161;835;1;2;4;0
1327;150;100;241;11671;1077;0;1;3;1
1454;73;93;352;10878;727;1;1;8;0
987;104;36;187;12720;321;2;0;8;1
781;246;16;324;817;1708;0;5;0;0
526;211;49;155;9603;1132;0;1;5;1
928;106;95;212;11607;691;0;2;8;1
1395;148;98;140;7727;1524;1;2;0;0
1845;66;100;187;14808;410;0;5;6;0
1045;175;54;500;7795;487;1;0;5;1
1769;202;29;242;13670;1487;0;4;8;0
366;118;23;138;9735;254;2;2;0;1
698;159;82;102;3606;1910;1;0;5;1
640;77;18;399;4745;1502;1;1;0;1
2077;145;18;119;9253;1397;1;5;2;1
2036;188;50;280;14140;1415;0;2;4;1
799;169;37;141;13997;665;2;5;8;1
1777;108;47;210;1805;512;1;5;4;0
1361;50;82;386;13480;1881;1;1;0;0
2466;125;36;284;4149;1461;0;3;5;1
1104;85;69;163;14813;251;1;2;4;1
2498;135;16;35;8064;1831;1;4;7;1
1826;190;48;490;907;1045;0;3;1;1
997;161;30;451;11665;928;0;4;8;0
798;238;89;206;10035;739;0;5;0;0
1210;229;76;228;3050;823;1;1;5;1
850;135;81;414;5277;357;0;5;8;1
1211;172;81;284;12683;443;1;0;4;0
1366;174;24;276;7741;559;1;3;1;0
1012;213;83;443;14414;939;0;2;2;1
1144;249;27;162;2445;853;2;0;3;0
1143;205;91;182;2225;906;0;0;0;0
2004;243;65;429;992;982;1;4;3;0
1738;76;16;29;13820;1583;2;1;7;0
465;99;41;296;6078;1411;0;4;4;1
2399;150;83;466;10773;177;2;2;7;0
2074;186;85;485;12809;827;1;1;3;0
1569;208;90;122;14582;1258;0;4;8;1
1891;85;24;414;8610;309;0;0;1;0
732;242;85;381;5762;1524;1;5;8;0
1093;102;98;249;10059;963;1;5;2;0
1692;196;29;433;14010;1062;0;5;4;1
1676;111;52;237;1359;1264;2;4;5;1
1568;138;53;500;10297;483;1;0;3;0
1736;77;47;82;2993;1810;1;4;5;1
1681;67;29;283;7610;654;2;0;7;1
850;142;27;437;3112;937;0;0;4;1
2009;109;21;412;10739;902;0;1;0;1
762;161;85;68;4136;634;0;3;6;0
948;225;88;216;4652;639;2;5;6;0
799;77;75;476;13027;1642;0;2;3;1
2265;168;65;147;6452;1395;0;4;7;0
645;85;18;293;14217;460;1;3;5;0
368;88;83;37;9890;950;1;2;3;1
1365;222;66;453;10349;1836;2;5;8;1
1587;209;91;287;8412;249;2;3;1;0
2498;107;58;416;4728;1037;2;1;3;0
1251;241;28;160;3803;670;0;1;5;1
841;229;51;70;4109;180;2;3;0;1
1493;64;86;87;1805;1768;0;2;0;0
1944;181;47;189;9588;1899;0;4;5;1
1173;239;51;305;10621;1787;1;4;1;0
1156;123;77;56;14133;1186;2;2;0;1
1295;184;86;208;14814;1301;0;5;0;0
2352;105;31;155;14150;1612;2;5;0;1
1996;218;92;451;9060;1831;2;3;0;0
