ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,trabajo,credito
5036,201,207,490,19646,94669,0,5,4,1
3723,206,197,304,32083,56379,0,3,5,0
3647,207,213,505,62967,666918,0,5,5,0
7398,214,471,497,10479,33310,1,0,0,0
5237,215,187,777,50350,88004,2,2,3,0
7485,218,392,622,60839,252851,2,2,5,0
6158,221,259,223,14361,543454,2,5,5,0
7460,223,314,237,15006,65495,1,3,7,1
5459,229,426,211,39568,19824,0,3,8,0
2446,230,214,651,55756,24683,1,0,1,1
6367,242,106,555,39191,305916,1,1,1,1
6520,242,450,111,19040,652100,2,3,0,1
3901,243,81,630,38612,262238,0,0,4,0
5145,243,586,668,69291,282892,0,0,2,0
6553,245,299,256,41085,59898,2,4,0,0
4929,248,128,229,35398,578173,0,2,6,1
2081,248,0,439,50266,429649,0,3,8,1
7738,248,45,419,1609,626309,0,3,4,1
3242,258,48,426,13702,392429,1,1,2,0
6796,259,89,682,66226,608350,2,2,7,1
2279,266,40,442,4940,626982,0,5,4,1
4048,272,81,514,21213,293082,2,4,0,0
6527,274,48,270,32362,642442,0,1,0,1
5601,277,99,414,55406,553329,2,1,7,0
2912,279,18,772,16383,273742,2,5,4,0
4764,288,502,552,5189,595866,2,4,5,0
4536,289,58,651,34894,86059,1,3,0,1
5784,298,84,700,1246,43161,0,5,2,0
6237,314,212,592,51007,217324,1,5,4,0
2221,315,28,757,42974,336292,0,0,5,1
5012,323,161,774,36297,167258,0,0,8,1
2068,339,379,397,46513,465672,2,4,2,1
4049,339,37,483,62457,588397,2,4,1,0
3008,346,390,406,4103,695489,0,1,6,0
6736,351,205,71,32291,568944,1,2,5,0
7694,353,117,529,47132,428039,2,0,6,0
4583,354,70,553,2623,337314,2,0,4,0
6140,355,544,68,48992,291895,0,5,6,0
4688,358,585,312,2092,427091,2,3,3,0
3609,359,558,464,6781,603446,2,3,2,0
6642,362,187,208,19750,675474,0,1,8,0
3657,364,488,405,30514,436041,1,2,6,1
7084,369,79,503,55463,455536,2,5,1,1
4374,370,69,534,12054,180976,1,0,2,0
3239,371,502,799,69179,185769,0,5,3,0
7392,382,154,429,10713,660812,0,0,3,1
7079,383,32,227,57864,328339,0,1,5,0
4236,384,84,483,46413,205557,1,2,7,1
7813,384,575,257,20262,582299,2,1,3,1
4255,400,33,235,15661,306534,2,0,2,0
2684,400,19,703,10840,178700,2,4,8,0
3717,406,301,532,21270,79236,2,2,6,0
6914,607,421,377,34904,69490,2,5,8,0
6582,610,149,648,52836,79754,2,4,7,0
3081,611,397,218,18409,30094,1,2,8,1
2771,666,505,259,38986,44230,2,1,1,0
4506,612,144,527,63562,359749,0,2,5,1
3819,612,337,543,26555,262583,0,3,7,0
6582,420,544,383,50384,310617,2,0,1,0
2636,421,143,368,17036,661170,2,2,6,0
6450,426,435,513,50085,299289,2,2,5,0
2398,482,270,233,17948,247954,0,0,7,1
4096,482,427,465,35002,224583,1,1,7,0
3377,486,350,530,17082,412846,1,1,4,1
7379,491,307,344,29806,174069,1,0,3,1
7381,506,4,543,49684,164599,0,2,1,1
7104,512,172,635,33534,521888,1,1,7,1
4460,513,522,574,15537,547203,0,4,7,1
