ingresos;gastos_comunes;pago_clases;gastos_otros;ahorros;instrumento;estado_civil;hijos;trabajo;credito
5404;299;548;765;29113;32376;2;6;2;0
5855;362;732;744;34497;30040;0;4;5;0
6692;212;662;564;20378;47658;2;3;5;0
5939;468;953;713;25471;49197;2;4;2;0
5705;393;815;602;23885;34667;1;5;7;1
5044;434;506;631;24470;41961;2;3;5;1
5871;358;862;726;20929;32857;0;5;1;0
5783;205;848;743;30745;42355;1;3;8;0
5935;421;920;527;30045;36009;1;2;8;0
6407;409;991;725;31804;45028;2;0;1;0
6506;366;801;514;31210;46466;0;3;4;0
6057;368;759;511;28875;37749;0;3;6;1
5994;234;956;578;25259;37540;0;5;5;1
6076;388;752;761;21345;31221;0;1;3;0
6900;372;919;611;32461;48463;0;1;3;0
6608;437;589;694;33232;33749;0;1;2;0
6322;406;551;568;25473;45305;1;5;6;1
5954;292;675;662;28453;49308;1;2;8;1
5978;366;944;516;29175;40416;1;5;6;1
5478;297;600;764;32248;37768;1;1;8;1
6572;268;775;791;31545;32632;1;1;3;0
6454;301;838;651;31620;47683;1;3;5;0
5540;297;786;519;30589;40115;1;3;7;0
6961;251;724;614;20345;45611;0;5;0;0
5408;346;724;675;22739;48601;0;2;0;1
6206;497;832;587;28439;31218;0;7;4;1
5141;480;760;608;29544;36337;2;3;1;0
6026;401;956;678;20535;36552;2;6;6;1
6039;255;888;717;25624;33317;0;6;1;1
6848;436;591;685;30604;46345;1;6;3;1
6904;400;547;791;23792;40795;0;1;3;0
6905;365;715;591;25175;48916;1;0;7;1
6076;475;739;770;24586;33178;0;1;7;0
6364;353;765;531;25026;31495;2;0;8;0
5331;488;666;579;34068;32173;0;7;2;1
6670;292;873;542;30626;31988;0;1;7;0
6608;273;794;650;33942;47782;0;4;7;1
5441;316;998;525;29294;31055;2;7;7;0
6212;490;664;574;34044;38816;0;3;7;1
6928;225;598;699;25604;36848;0;6;2;1
5338;277;565;583;30458;34762;1;6;1;1
6456;412;562;558;26747;44733;2;5;3;0
5503;267;773;715;32512;33545;0;0;6;1
5204;429;630;536;27954;36220;1;5;3;1
6280;356;929;675;26660;36756;0;2;8;0
5275;456;843;537;24330;41381;0;0;1;0
5185;245;940;733;23009;41588;1;0;0;0
6912;403;984;742;31810;45478;2;5;5;1
6772;448;522;574;30285;32531;0;0;1;0
5440;427;658;688;22937;40584;2;5;1;1
6372;416;588;593;24486;32800;2;0;2;1
5868;335;600;779;34620;30595;1;7;6;0
5443;441;988;636;34008;46687;2;0;5;1
5724;243;780;775;26586;37365;2;6;4;0
6789;393;561;612;31173;49803;1;1;1;0
6350;228;556;557;26359;47360;2;4;6;0
6524;293;865;652;34941;32094;2;3;2;1
6673;202;912;731;25188;40949;0;2;4;0
5041;215;747;546;31398;40210;1;6;0;0
5918;410;938;631;34476;39876;0;7;1;1
6736;223;604;800;31861;39430;1;7;1;1
6988;257;785;538;26618;36999;0;3;7;0
5362;448;725;535;20642;47651;0;4;7;0
5453;318;547;513;34626;34044;1;0;6;0
6712;418;572;635;27193;41703;2;4;8;1
5510;317;526;702;20492;38566;1;4;6;0
5546;478;546;791;24047;34651;2;0;2;0
5135;243;679;785;22712;44809;1;1;3;0
6732;343;595;557;21157;30130;2;3;2;0
5861;293;942;678;21964;48834;0;5;5;1
6606;396;993;754;29253;40965;1;6;1;0
6902;482;899;744;34431;35060;0;4;5;0
5168;429;894;793;23027;49204;1;7;3;1
5268;460;909;752;23945;33180;2;3;6;0
6240;433;811;601;25434;41806;1;1;0;0
5423;450;506;639;33023;49016;0;3;1;0
6110;361;896;676;30571;41873;1;5;1;1
6472;202;934;565;29178;45222;2;5;2;0
6392;379;826;668;30253;36567;2;3;3;0
5248;228;657;511;21842;47249;0;7;5;0
6013;384;558;642;26803;46967;0;6;1;1
6336;440;684;646;24230;37526;0;5;0;1
6104;422;512;599;28312;40998;2;0;7;0
6580;205;591;633;21270;41712;0;4;2;1
6885;219;576;615;20938;33457;2;4;7;1
5394;387;595;620;24378;35620;0;3;0;1
6774;222;553;549;32187;33915;1;3;6;1
5830;397;868;583;23371;35795;1;4;3;0
5428;232;623;771;24720;44251;2;5;1;0
6406;414;854;557;27825;42580;2;0;3;1
5533;267;936;781;26492;49883;1;6;4;1
6009;250;877;600;28539;49953;2;4;7;0
5127;305;745;684;26722;31780;1;3;5;1
5510;227;729;627;27696;43302;1;6;4;0
5519;264;914;673;21167;47536;0;5;6;0
6641;376;940;685;33183;40008;2;0;0;1
6490;292;764;798;21455;49173;1;6;6;0
5647;444;675;636;26857;47583;2;6;5;1
6988;448;734;796;23452;44644;0;7;1;0
6607;343;918;542;20917;43755;0;2;2;0
6301;376;906;543;34564;44098;1;2;0;1
5906;425;787;793;23519;33533;0;5;6;1
5194;271;748;623;30862;49081;2;7;7;0
5995;413;573;643;32039;47010;1;3;5;1
6333;283;941;711;33793;39785;0;2;8;0
6743;348;855;718;33183;48884;1;7;5;0
6519;442;911;613;29306;49875;2;0;8;0
6601;423;788;611;21145;31840;2;6;1;0
5634;462;882;633;29047;42340;0;2;1;0
5660;444;766;680;32024;31323;0;1;5;0
6156;303;555;686;23549;43681;0;0;8;0
5862;263;933;604;34605;44153;1;0;4;1
6265;301;556;653;22829;48598;0;7;5;1
5164;409;720;589;30118;43771;2;0;7;0
5993;401;523;638;22270;42876;1;4;3;0
6716;435;671;691;25153;47724;2;2;3;0
5652;384;623;726;25543;39888;1;4;7;1
6056;343;567;756;22481;32057;1;3;4;0
6577;239;999;765;27624;44565;2;6;2;0
6063;422;839;567;23388;47440;2;3;1;1
5516;271;675;584;25277;30860;1;3;5;0
6599;260;972;775;24215;39667;2;6;0;1
6908;400;527;678;31349;46353;2;3;2;1
5010;335;851;766;24775;40159;1;0;1;1
5900;301;803;653;25253;39651;0;0;5;0
6149;481;582;697;30950;34109;2;4;7;0
6521;253;887;561;26855;38950;0;3;1;0
5634;474;635;536;21005;47187;1;2;8;0
5338;486;959;662;32187;32517;0;2;4;1
5539;362;708;557;25942;36342;0;7;3;0
6313;331;781;683;27242;49191;0;6;2;1
5935;247;719;636;26779;35138;0;7;4;0
6715;403;820;642;27060;40602;1;6;7;1
5875;443;926;616;24218;39305;0;0;6;1
6573;417;634;679;29220;49753;0;3;7;1
5410;463;665;711;22761;41560;1;1;5;1
5045;279;708;692;23428;44811;0;1;8;0
6793;470;682;674;29799;40368;2;3;6;1
5651;448;526;525;29937;34294;2;1;0;1
5180;345;547;608;32366;30112;0;2;8;0
6261;427;524;624;24436;49041;2;4;0;1
5568;299;990;639;34032;32145;2;4;6;0
5173;358;792;575;28201;44896;2;6;4;1
6455;424;575;615;25972;49878;2;7;1;0
6795;425;886;648;25008;48220;1;3;0;0
5092;291;866;533;23514;48039;1;4;6;0
5831;335;720;726;26254;39187;0;2;1;1
5641;324;789;669;23883;34050;0;4;2;0
6780;255;960;736;31820;33767;1;4;7;0
5528;287;706;566;29545;42290;2;5;4;0
5796;270;957;655;32307;36645;2;0;3;1
5409;353;834;583;32880;34302;2;1;5;1
6084;465;936;584;32558;35623;0;0;6;0
5950;494;733;732;28849;32627;1;2;3;0
5377;283;506;569;32396;44230;0;6;6;0
5853;250;712;634;21895;40403;0;3;2;1
5631;429;882;564;30660;39312;1;5;2;0
5638;466;955;652;21885;47089;1;0;8;0
6522;249;984;568;23357;32754;2;1;1;1
5204;364;623;696;22802;35149;1;3;0;1
5386;447;826;670;21764;31170;0;5;1;1
6311;319;873;747;25652;40859;2;3;3;1
6643;271;550;755;26761;45092;1;0;2;1
5335;354;815;737;30502;30028;2;4;0;1
5677;230;809;668;20425;42316;2;3;1;0
6182;238;962;748;28123;35042;1;7;1;1
6889;391;567;611;30710;44419;1;1;8;1
