ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,trabajo,credito
7400,791,537,748,47951,301791,0,2,3,0
6361,816,525,729,33835,670309,2,4,4,0
7817,431,243,446,46797,389840,2,5,0,0
6009,435,597,402,38827,674609,1,5,6,0
5547,1002,457,348,21952,412634,0,0,5,0
2587,867,129,460,52990,564602,1,1,2,1
2099,961,570,514,57900,313464,2,2,6,1
6868,634,335,484,42663,168738,1,0,3,0
6194,1098,428,775,61342,175526,0,0,5,0
3989,1030,99,205,65806,624075,0,2,4,0
4754,673,277,320,17984,594737,2,3,4,0
6582,420,544,383,50384,310617,2,0,1,1
4460,513,522,574,15537,547203,0,4,7,1
3008,346,390,406,49103,695489,0,1,6,1
4255,385,431,794,57626,390132,0,0,8,0
2381,694,471,339,51525,397642,1,4,4,0
6048,514,577,688,53930,585449,2,2,5,0
3006,912,14,747,26032,508564,2,2,4,0
3664,518,283,454,61841,252518,1,2,3,0
7383,398,6,313,21838,424769,1,0,6,0
6180,341,356,286,10659,531787,0,2,4,0
2820,944,117,282,24080,448495,2,2,8,0
4397,571,186,779,37004,235320,1,3,7,1
5672,387,573,245,17653,663664,1,4,6,0
4451,871,115,270,22153,513627,0,0,3,1
2818,527,385,438,65499,173590,1,3,8,0
7179,719,446,459,49351,647934,2,1,2,1
7260,681,492,576,22510,493760,2,1,3,0
4048,272,181,514,21213,293082,2,4,0,0
2398,482,270,233,17948,247954,0,0,7,1
2219,461,501,448,18812,441845,2,4,6,1
3081,411,397,218,18409,330094,1,2,8,1
4775,902,84,354,30047,466225,0,1,1,0
4983,1028,7,380,23851,343697,1,3,2,1
7079,383,32,227,57864,328339,0,1,5,1
2221,315,28,757,42974,336292,0,0,5,1
2263,788,230,394,50632,504978,0,2,8,1
2133,1058,565,686,46501,490393,0,3,0,1
5342,610,124,799,44621,279461,0,4,0,1
5217,930,297,339,27146,607257,2,1,5,0
5768,1024,592,511,46174,551618,2,5,7,1
4454,654,506,741,10506,414467,1,0,5,1
6700,635,302,400,16690,502142,0,3,6,1
3239,371,502,799,69179,185769,0,5,3,0
5237,215,187,777,51350,588004,2,2,3,0
3182,1033,431,728,67948,663543,0,3,4,1
7545,613,566,596,27394,208364,1,5,7,1
5074,1018,515,209,45294,644412,0,4,1,0
7306,837,437,299,60681,690240,2,0,3,1
7267,532,464,290,44504,259657,1,2,5,0
3657,364,488,405,30514,436041,1,2,6,1
4717,696,370,312,21746,601625,2,3,6,0
4255,398,33,235,15661,306534,2,0,2,0
2548,1096,331,524,27383,541009,1,2,6,0
2068,339,379,397,46513,465672,2,4,2,1
7694,353,117,529,47132,428039,2,0,6,1
5658,497,307,468,27037,207266,1,1,0,0
6642,611,97,445,50828,429922,0,3,3,1
5036,201,207,490,19646,594669,0,5,4,1
4906,684,433,276,54267,519696,1,0,5,0
2604,1061,386,632,54814,248260,0,2,0,0
3775,1048,24,281,35105,672801,1,1,6,1
7862,1011,122,348,29201,173610,1,0,6,1
6991,441,241,612,38269,345140,0,3,7,0
5784,298,84,700,12246,443161,0,5,2,0
5910,794,435,518,52538,668064,0,5,0,0
6758,523,102,521,21766,196849,2,0,7,0
7962,984,357,288,43475,682252,2,3,0,0
2151,688,95,382,12203,339143,2,1,6,0
2077,644,182,723,12596,310082,0,0,3,0
4276,941,390,728,11718,294150,0,0,3,0
2028,487,411,568,33194,264287,2,1,5,0
4943,1186,402,570,27644,390089,0,0,2,0
2593,596,248,708,16779,275509,2,2,8,0
2064,454,199,666,38718,356201,0,0,2,0
2614,732,375,527,21365,294601,0,0,2,0
4507,811,161,687,36284,211998,2,3,6,1
2028,690,167,325,37309,284984,2,0,3,0
2022,384,88,701,22210,291439,2,3,7,0
3608,686,195,406,36506,350589,1,1,8,0
3973,1112,440,630,17385,221634,2,2,7,0
3395,1120,234,597,37479,239707,1,2,8,0
4434,1375,167,734,29498,201983,0,0,0,0
4025,1369,32,493,38752,225841,1,4,5,0
2308,577,152,657,33131,257224,0,0,2,0
3169,1014,429,705,14867,177454,2,2,7,0
4708,1459,84,567,32314,379520,0,0,0,0
2265,430,394,745,19218,248465,0,0,2,0
2008,643,257,494,25658,180374,2,3,5,0
3796,1025,323,316,35445,210261,0,0,1,0
4653,1024,447,703,16952,392957,0,0,3,0
3390,881,194,584,34601,304112,2,2,5,0
2969,623,72,620,29663,289205,2,2,6,0
4169,1292,48,333,28503,239872,2,1,7,1
4054,1095,371,440,22183,223971,1,0,3,0
3831,690,352,488,10723,363120,0,0,2,0
3961,1030,270,475,21880,280421,2,3,8,0
3184,955,276,684,35565,388025,1,3,8,0
3334,867,369,652,19985,376892,1,2,5,0
3988,1157,105,382,11980,257580,0,0,4,0
7104,1052,172,635,33534,521888,1,1,7,1
3820,456,318,742,19691,695516,2,1,3,0
4740,679,476,295,24862,331006,0,0,2,0
2912,279,168,772,16383,273742,2,5,4,0
7420,859,11,237,68101,621880,0,3,5,0
7488,467,190,214,54232,190769,1,0,5,0
6658,601,566,307,28845,695052,1,3,3,0
6612,797,517,555,35688,578854,2,4,3,0
7010,1037,281,371,27016,225992,0,0,8,1
3242,258,468,426,13702,392429,1,1,2,0
5310,385,438,718,30424,272723,0,3,8,1
6796,259,89,682,66226,608350,2,2,7,1
3864,343,217,794,37809,198974,0,0,8,0
2013,908,228,447,12939,387762,2,2,2,1
5971,774,233,222,14664,295011,0,2,7,1
6237,314,212,592,51007,217324,1,5,0,0
2923,1053,385,721,12388,406498,1,2,2,1
7109,513,531,369,47637,526259,0,4,4,0
7138,936,364,688,14110,180728,2,3,6,0
6546,969,404,535,68272,452572,2,4,3,1
3566,545,340,579,52446,433400,1,3,4,0
4316,614,238,334,28503,503292,2,4,3,0
6734,731,310,568,65754,480807,1,3,2,0
3717,406,301,532,21270,379236,2,2,2,1
5691,765,422,252,69077,396353,1,4,1,0
4347,712,42,485,30520,534606,2,1,2,0
3641,434,389,258,30103,348823,2,2,7,1
6450,426,435,513,50085,259289,2,2,1,0
4450,962,71,536,47911,631531,1,4,2,1
4006,610,274,442,55208,631441,2,4,2,0
4563,789,221,257,12129,668446,0,0,4,0
4507,754,557,205,57002,665629,0,4,8,0
6463,575,258,584,15658,246371,0,5,3,0
7084,369,79,503,55463,455536,2,5,0,0
6312,921,154,698,39124,473630,0,2,0,0
6723,782,138,493,41147,445050,0,3,0,0
3723,206,197,304,32083,356379,0,3,5,0
6963,566,339,363,29783,283287,2,1,2,0
7379,491,307,344,29806,174069,1,0,3,1
7012,969,179,699,41961,435263,1,0,6,1
6892,850,564,717,60329,387694,1,2,3,1
6367,242,106,270,39191,305916,1,1,1,1
3085,429,234,774,38781,382022,0,1,8,1
6218,790,558,641,12803,667013,2,3,8,0
6000,1000,0,600,50000,400000,0,2,2,1
6745,944,123,429,43240,636897,1,3,6,0
6455,1033,98,795,57463,321779,2,1,8,1
7098,1278,15,254,54506,660933,0,0,3,0
6167,863,223,520,41512,348932,0,0,3,1
5692,911,11,325,50875,360863,1,4,5,1
6830,1298,345,309,46761,429812,1,1,5,1
6470,1035,39,782,57439,606291,0,0,1,0
6251,1250,209,571,50503,291010,0,0,3,1
6987,1258,252,245,40611,324098,2,1,7,1
7273,1455,303,201,39340,577972,0,0,0,0
5058,1012,74,463,51836,427334,2,0,2,0
5663,793,121,225,67971,524971,2,3,6,1
6139,921,210,387,65438,333239,1,3,8,1
7567,1059,341,339,42462,641963,2,2,5,0
