ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,tipo_instrumento,credito
7400,791,537,748,47951,301791,0,2,3,0
6361,816,525,729,33835,670309,2,4,4,0
7817,431,243,446,46797,389840,2,5,0,1
6009,435,597,402,38827,674609,1,5,6,0
5547,1002,457,348,21952,412634,0,0,5,0
2587,867,129,460,52990,564602,1,1,2,1
2099,961,570,514,57900,313464,2,2,6,1
2398,482,270,233,17948,247954,0,0,7,1
2219,461,501,448,18812,441845,2,4,6,1
7939,1081,532,706,11729,574216,0,1,2,0
7260,681,492,576,22510,493760,2,1,3,0
4048,272,181,514,21213,293082,2,4,0,0
5342,610,124,799,44621,279461,0,4,0,1
6696,714,33,229,61196,164702,2,1,1,0
2263,788,230,394,50632,504978,0,2,8,1
2133,1058,565,686,46501,490393,0,3,0,1
2279,266,400,442,48940,626982,0,5,4,1
3081,411,397,218,18409,330094,1,2,8,1
4775,902,84,354,30047,466225,0,1,1,0
4983,1028,7,380,23851,343697,1,3,2,1
6081,1058,19,50,56515,742894,2,2,6,1
7605,1724,37,789,44770,184676,1,0,3,0
6539,607,116,652,56924,647897,0,0,5,1
6333,1655,103,361,24247,267293,0,2,4,1
6381,1875,36,484,56369,201780,2,3,4,0
7717,1329,119,530,49822,293853,2,0,1,1
7847,756,5,977,33984,298922,0,4,7,1
7025,1115,87,981,16470,584536,2,5,0,0
7332,586,15,776,50239,767122,0,1,6,1
6498,1725,76,915,43905,729959,0,0,8,0
7452,935,94,1183,51181,535022,1,4,4,0
6966,592,70,959,60753,141169,0,5,2,0
6321,1287,57,906,15908,220902,2,2,5,1
6804,1133,36,389,52278,133851,2,2,4,0
6728,1206,101,152,47267,291059,1,2,3,1
7656,938,70,887,9747,558931,1,2,7,1
7001,908,115,1062,16297,632393,1,0,6,0
6479,1878,18,179,48880,718628,0,2,4,1
6030,1216,51,572,43871,559993,2,2,8,1
7888,1517,84,460,15254,572779,0,2,1,1
6998,1000,91,732,40578,277314,1,3,7,1
7452,1768,7,854,54237,441030,1,4,6,0
6023,1376,94,797,10303,152198,0,0,3,1
6266,1824,59,488,17265,620261,2,0,7,0
7602,770,55,525,9575,552476,1,3,8,0
7452,1285,36,1132,40617,440340,2,1,2,1
7170,1198,57,176,50399,204255,0,0,4,0
7252,869,94,1160,59069,138622,0,0,7,1
6568,515,94,288,24047,414420,2,4,6,1
6615,664,62,340,60953,339701,0,1,2,0
7864,1729,5,146,15465,582499,2,1,3,0
7596,910,8,688,46772,234861,2,4,0,0
6652,1094,12,581,8271,801188,0,4,0,1
7787,1083,33,135,15118,294679,2,1,1,0
6725,873,49,1192,12800,742138,0,2,8,1
6842,1365,2,945,18994,801764,0,3,0,1
7328,1540,92,813,61857,140347,0,5,4,1
6632,1762,105,798,48632,487417,1,2,8,1
7325,1841,49,573,44494,807688,0,1,1,0
6146,1435,74,370,58160,438370,1,3,2,1
6176,951,7,83,21346,164945,0,1,5,1
6435,765,10,836,13680,505240,2,2,3,0
7032,824,120,545,10818,406826,2,5,7,1
7542,1725,20,555,50240,503345,1,4,7,0
6814,1720,76,1020,17887,760583,0,3,4,1
6637,1153,70,545,54202,429982,1,5,7,1
7342,1242,101,147,33787,819833,1,1,7,0
6020,594,60,479,14790,187328,0,4,1,0
7449,522,98,990,12232,623796,2,0,6,1
6369,1040,4,354,30845,602654,0,2,0,0
7095,1741,69,911,51458,543387,2,3,7,1
7812,1449,48,1118,10265,688876,2,4,5,0
7355,1760,121,664,61399,160583,0,0,3,1
6589,1223,59,1156,14901,540101,0,3,7,0
6220,1065,92,706,19085,838825,0,1,6,0
6308,1221,26,897,16151,169532,1,3,7,1
6864,1170,13,490,42184,484595,2,0,3,1
7013,1723,75,867,14259,425407,1,2,5,0
6494,1560,118,1077,56240,815405,1,2,6,1
7345,888,100,1020,52531,809771,2,3,6,0
6775,1691,101,5,35848,316481,2,0,2,0
7456,794,125,1055,41870,863718,1,2,6,0
7285,784,75,1195,43843,667344,2,4,2,1
7353,815,33,95,30413,173841,2,0,6,1
6035,1236,83,766,33080,724489,1,1,0,0
7765,1421,38,1155,30883,692439,0,3,3,1
6521,1482,7,686,59723,461469,0,5,4,1
6356,916,43,886,58144,537868,1,0,5,0
7243,1276,2,696,55643,815601,0,2,0,0
6121,979,55,567,59844,374542,1,1,6,1
6859,1722,54,1,52918,466847,1,0,6,1
6544,957,117,1095,44465,738982,1,2,5,0
7237,1604,45,424,8620,570010,0,3,7,0
7876,834,37,492,29294,173917,0,5,2,0
7586,1539,27,54,12667,484268,0,5,0,0
7297,1037,107,17,38962,865711,2,0,7,0
6898,1149,108,1017,21140,148531,1,3,6,0
6944,1233,34,727,23872,553432,1,0,0,0
7628,1617,21,427,38084,308317,1,1,8,1
6235,1072,1,170,34933,382357,1,5,1,0
7082,1609,95,795,56005,577950,0,4,4,0
7018,1019,58,187,61031,392994,0,0,2,0
7344,1736,2,1076,62400,870020,2,4,2,1
7282,1303,72,701,13722,785075,2,3,0,0
6966,582,94,391,49427,431587,1,4,8,1
7444,1614,87,579,17150,879962,2,1,6,0
6503,1866,29,296,28340,216741,1,0,7,1
6293,932,75,42,9434,558049,2,5,8,0
7722,1235,101,727,42227,293822,2,2,5,0
6161,910,36,29,17741,780791,2,1,5,0
6695,1412,94,578,50844,792791,1,3,0,1
7111,1591,39,59,64292,871296,2,1,2,0
6454,1687,43,593,12301,629613,1,1,4,1
7878,1624,51,908,55823,231889,1,1,7,0
6519,1535,77,993,58150,394946,2,4,0,0
7106,1720,100,424,64973,750332,1,3,0,1
6667,1286,120,1159,34142,874317,1,2,1,1
6637,618,6,352,44125,655421,2,2,2,1
7057,866,52,314,38980,708929,0,2,5,1
6419,548,57,423,41168,271201,2,1,3,1
7759,1668,42,89,38125,705712,2,0,4,0
7586,1525,36,656,52520,703281,1,5,1,1
6250,905,24,1141,29608,469505,0,3,2,1
6183,1746,11,658,39426,549604,2,4,7,0
7189,1681,70,1196,42215,584420,2,0,7,1
6000,1000,0,600,50000,400000,0,2,2,1
6745,944,123,429,43240,636897,1,3,6,0
6455,1033,98,795,57463,321779,2,1,8,1
7098,1278,15,254,54506,660933,0,0,3,0
6167,863,223,520,41512,348932,0,0,3,1
5692,911,11,325,50875,360863,1,4,5,1
6830,1298,345,309,46761,429812,1,1,5,1
6470,1035,39,782,57439,606291,0,0,1,0
6251,1250,209,571,50503,291010,0,0,3,1
6987,1258,252,245,40611,324098,2,1,7,1
7273,1455,303,201,39340,577972,0,0,0,0
5058,1012,74,463,51836,427334,2,0,2,0
5663,793,121,225,67971,524971,2,3,6,1
6139,921,210,387,65438,333239,1,3,8,1
7567,1059,341,339,42462,641963,2,2,5,0
5749,690,291,698,50257,305122,2,0,4,1
5685,910,182,271,66947,365809,1,2,8,1
6722,807,52,779,66020,593711,2,2,7,0
7705,1387,348,366,65410,597411,0,0,2,0
6038,966,53,270,69636,286581,1,1,7,1
6840,889,127,263,50080,455906,2,0,0,0
6519,782,274,232,69934,569270,2,1,8,1
7831,1096,315,229,62661,653266,0,0,1,0
6717,806,265,260,49606,295710,2,1,8,1
5099,867,73,336,40451,340230,0,0,1,1
5897,1061,273,499,64423,435700,0,0,3,0
5294,688,71,725,48188,444817,1,4,5,0
6148,1168,93,413,68048,512193,0,0,4,0
7939,1350,69,552,52197,443279,0,0,4,1
7287,874,143,525,40079,297363,1,4,8,1
