ingresos;gastos_comunes;pago_clases;gastos_otros;ahorros;instrumento;estado_civil;hijos;trabajo;credito
12915;522;247;823;9759;3630;0;2;2;1
7761;820;269;793;2282;11745;2;5;5;0
11775;985;245;733;7447;8615;0;1;8;0
9339;958;358;537;6768;11316;1;1;5;0
4174;534;138;522;3870;7361;2;5;4;0
6979;411;374;795;2646;5968;1;3;2;1
12831;932;367;630;6976;9198;1;5;2;1
9294;808;92;721;6161;5664;1;2;4;0
4555;432;272;633;11671;4381;0;1;3;1
7766;851;64;690;10878;7116;1;1;8;0
8581;696;351;534;12720;9518;2;0;8;1
13262;840;387;876;817;7731;0;5;0;0
9635;922;189;673;9603;8876;0;1;5;1
10472;970;270;687;11607;7966;0;2;8;1
4171;546;184;866;7727;10389;1;2;0;0
4300;672;368;703;14808;6515;0;5;6;0
10071;902;91;886;7795;11484;1;0;5;1
7732;863;332;675;13670;4987;0;4;8;0
8178;787;200;569;9735;7661;2;2;0;1
9977;820;150;600;3606;9316;1;0;5;1
14769;438;181;721;4745;9260;1;1;0;1
7426;692;397;628;9253;9064;1;5;2;1
3814;496;113;643;14140;4814;0;2;4;1
11329;719;172;724;13997;10240;2;5;8;1
3896;845;324;670;1805;12367;1;5;4;0
8814;858;388;519;13480;6595;1;1;0;0
7126;790;309;681;4149;12355;0;3;5;1
10381;507;261;867;14813;10868;1;2;4;1
8467;429;78;681;8064;9504;1;4;7;1
15309;631;248;863;907;10765;0;3;1;1
11245;830;384;796;11665;6955;0;4;8;0
4826;749;154;862;10035;9646;0;5;0;0
8654;598;301;511;3050;4590;1;1;5;1
16200;719;326;882;5277;10146;0;5;8;1
17998;844;93;784;12683;10073;1;0;4;0
15548;690;83;770;7741;3755;1;3;1;0
14910;663;60;692;14414;9951;0;2;2;1
13392;625;363;868;2445;10095;2;0;3;0
9003;603;212;560;2225;4253;0;0;0;0
17845;995;107;682;992;11526;1;4;3;0
12560;522;215;520;13820;4663;2;1;7;0
12654;534;398;867;6078;6318;0;4;4;1
13642;830;200;794;10773;9563;2;2;7;0
11575;484;174;787;12809;4973;1;1;3;0
16113;399;184;811;14582;5225;0;4;8;1
6867;472;378;631;8610;10829;0;0;1;0
16627;940;245;537;5762;11089;1;5;8;0
9036;855;276;631;10059;8621;1;5;2;0
17101;771;320;667;14010;4294;0;5;4;1
3806;554;126;815;1359;4638;2;4;5;1
4365;998;83;814;10297;11169;1;0;3;0
14486;409;64;639;2993;6035;1;4;5;1
15870;611;301;834;7610;10050;2;0;7;1
4165;843;182;575;3112;10242;0;0;4;1
10782;631;188;610;10739;12301;0;1;0;1
4177;982;165;624;4136;6893;0;3;6;0
10858;390;339;862;4652;4977;2;5;6;0
10954;529;231;663;13027;9197;0;2;3;1
8965;797;339;582;6452;10726;0;4;7;0
7870;672;272;547;14217;3614;1;3;5;0
8306;469;92;887;9890;7011;1;2;3;1
7664;614;335;632;10349;12365;2;5;8;1
9977;922;334;579;8412;7087;2;3;1;0
3809;962;197;790;4728;10658;2;1;3;0
13250;913;82;740;3803;6911;0;1;5;1
16321;871;94;781;4109;4304;2;3;0;1
9015;843;70;782;1805;4799;0;2;0;0
4479;568;391;774;9588;9846;0;4;5;1
13602;385;370;723;10621;8144;1;4;1;0
10490;544;389;754;14133;5072;2;2;0;1
12077;591;104;666;14814;11951;0;5;0;0
6203;756;72;663;14150;10090;2;5;0;1
6055;439;98;700;9060;12116;2;3;0;0
15120;979;192;671;10095;8144;2;3;4;0
8700;937;111;706;13701;5987;0;0;7;1
11683;593;120;652;13303;6185;2;3;1;1
11548;980;136;562;13583;11038;2;5;6;0
13418;897;255;795;4340;12016;1;2;3;0
8576;789;318;861;7581;11371;0;3;6;0
17172;502;199;651;12651;9450;0;3;8;0
14159;531;173;842;13477;6722;0;1;6;1
8554;825;305;794;7307;9887;0;3;8;1
15397;723;131;565;14567;8595;1;5;4;0
12642;811;379;683;3339;10963;1;5;8;1
15971;853;396;689;11195;4831;2;1;5;0
14441;595;81;547;3011;6191;1;2;0;0
17943;866;69;612;8072;10103;1;5;7;0
14258;943;176;595;13883;4805;1;3;8;0
17179;911;378;817;10671;6792;0;4;2;1
17941;599;157;626;10337;4451;2;0;2;1
15785;963;143;733;2129;4371;1;3;2;0
9213;407;154;576;9963;6649;1;2;3;1
16641;985;154;837;2884;9067;1;2;0;0
9715;706;137;750;2960;3863;1;0;3;1
5696;632;203;731;6636;7618;1;3;2;0
9410;437;398;802;8969;11603;1;5;6;1
15820;588;98;600;8261;4596;2;0;2;1
4225;708;243;526;8955;6256;1;2;3;0
9788;434;310;697;6898;9735;0;0;5;0
15729;867;81;521;888;9330;0;5;3;1
5892;673;331;535;3621;4285;2;1;3;1
10633;641;51;794;14176;11236;0;0;7;1
12432;863;360;578;10316;4932;1;2;0;0
4193;848;102;603;5012;7201;2;4;5;0
12327;545;166;505;7753;7012;2;1;7;1
17175;359;62;584;14352;7486;0;0;7;1
13193;915;323;719;5770;10097;0;5;0;0
13901;391;304;772;7589;8930;2;0;2;0
9485;837;343;592;14068;4945;1;0;1;0
5363;438;160;811;4014;5359;1;0;8;0
4078;911;285;784;5063;11972;0;4;1;1
10815;682;162;806;10921;6611;1;4;7;0
3505;897;55;743;9005;4942;2;1;6;0
13963;582;203;839;5115;12253;2;4;8;1
16480;468;183;542;4386;11110;1;3;3;0
7102;455;276;893;8074;5144;2;5;3;1
6160;448;157;708;2498;11952;0;0;7;1
4922;532;254;646;9252;4157;1;5;8;1
13510;966;256;722;13811;9598;2;1;7;1
8541;755;389;878;9556;6981;2;5;0;1
9143;998;279;891;10484;8858;0;2;2;1
9545;766;262;829;1001;4711;0;0;5;1
9309;441;303;559;3784;10327;0;5;5;0
16877;407;294;881;2424;6724;0;2;8;1
15146;568;98;750;3701;7910;0;0;4;0
15050;508;292;706;1790;7809;0;3;1;0
12500;438;392;572;1740;11143;2;3;4;0
10990;663;101;881;4297;10765;1;3;7;1
4837;579;294;612;12643;6884;2;4;3;1
6719;445;320;691;1207;4458;1;4;6;0
6540;463;209;835;1825;3854;1;4;5;0
12646;609;180;883;5480;4934;2;2;1;1
6666;971;165;845;10858;11713;1;3;0;0
12616;356;376;655;8473;5030;0;2;3;0
8344;956;232;897;1482;4966;2;0;2;0
9735;594;106;561;11119;10701;2;1;2;0
11479;380;295;778;834;6635;1;2;0;1
5408;448;192;640;8594;9873;2;1;0;0
9700;912;287;571;3938;11517;2;0;1;0
16441;962;159;637;2509;3797;2;4;1;0
9929;969;302;798;8970;6988;0;1;1;1
10165;425;58;598;8584;11131;1;1;1;1
5261;551;83;636;12565;9961;1;2;6;1
