ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,trabajo,credito
721,173,31,467,845,1334,0,2,2,1
925,185,50,100,610,1443,2,5,5,0
1168,233,35,173,753,1015,0,1,8,0
2426,131,44,372,795,1306,1,1,5,0
1369,82,72,48,768,1020,2,5,4,0
1499,88,25,322,661,1457,1,3,2,1
2209,236,90,220,674,1183,1,5,2,1
766,177,36,38,604,1389,1,2,4,0
1327,150,100,241,884,1309,0,1,3,1
1454,73,93,352,614,1343,1,1,8,0
987,104,36,187,741,1086,2,0,8,1
781,246,16,324,621,1388,0,5,0,0
526,211,49,155,664,1019,0,1,5,1
928,106,95,212,822,1230,0,2,8,1
1395,148,98,140,943,1223,1,2,0,0
1845,66,100,187,875,1070,0,5,6,0
1045,175,54,500,774,1043,1,0,5,1
1769,202,29,242,618,1084,0,4,8,0
366,118,23,138,820,1055,2,2,0,1
698,159,82,102,949,1471,1,0,5,1
640,77,18,399,914,1263,1,1,0,1
2077,145,18,119,926,1160,1,5,2,1
2036,188,50,280,616,1239,0,2,4,1
799,169,37,141,717,1409,2,5,8,1
1777,108,47,210,906,1087,1,5,4,0
1361,50,82,386,642,1387,1,1,0,0
2466,125,36,284,677,1311,0,3,5,1
1104,85,69,163,937,1160,1,2,4,1
2498,135,16,35,622,1394,1,4,7,1
1826,190,48,490,644,1467,0,3,1,1
997,161,30,451,906,1051,0,4,8,0
798,238,89,206,714,1442,0,5,0,0
1210,229,76,228,611,1175,1,1,5,1
850,135,81,414,877,1286,0,5,8,1
1211,172,81,284,695,1481,1,0,4,0
1366,174,24,276,663,1494,1,3,1,0
1012,213,83,443,798,1196,0,2,2,1
1144,249,27,162,711,1354,2,0,3,0
1143,205,91,182,719,1243,0,0,0,0
2004,243,65,429,812,1063,1,4,3,0
1738,76,16,29,745,1417,2,1,7,0
465,99,41,296,605,1254,0,4,4,1
2399,150,83,466,773,1051,2,2,7,0
2074,186,85,485,667,1445,1,1,3,0
1569,208,90,122,638,1064,0,4,8,1
1891,85,24,414,667,1364,0,0,1,0
732,242,85,381,835,1066,1,5,8,0
1093,102,98,249,710,1012,1,5,2,0
1692,196,29,433,853,1420,0,5,4,1
1676,111,52,237,941,1202,2,4,5,1
1568,138,53,500,684,1239,1,0,3,0
1736,77,47,82,672,1052,1,4,5,1
1681,67,29,283,834,1310,2,0,7,1
850,142,27,437,738,1404,0,0,4,1
2009,109,21,412,795,1375,0,1,0,1
762,161,85,68,604,1174,0,3,6,0
948,225,88,216,690,1230,2,5,6,0
799,77,75,476,848,1436,0,2,3,1
2265,168,65,147,694,1090,0,4,7,0
645,85,18,293,643,1477,1,3,5,0
368,88,83,37,903,1235,1,2,3,1
1365,222,66,453,782,1472,2,5,8,1
1587,209,91,287,642,1388,2,3,1,0
2498,107,58,416,689,1225,2,1,3,0
1251,241,28,160,637,1354,0,1,5,1
841,229,51,70,638,1343,2,3,0,1
1493,64,86,87,733,1319,0,2,0,0
1944,181,47,189,608,1204,0,4,5,1
1173,239,51,305,887,1352,1,4,1,0
1156,123,77,56,684,1050,2,2,0,1
1295,184,86,208,852,1193,0,5,0,0
2352,105,31,155,653,1032,2,5,0,1
1996,218,92,451,885,1070,2,3,0,0
2321,215,58,70,874,1282,2,3,4,0
999,224,70,264,798,1396,0,0,7,1
1974,134,29,477,662,1203,2,3,1,1
1070,121,76,55,898,1441,2,5,6,0
1573,212,49,95,785,1065,1,2,3,0
502,141,50,59,786,1092,0,3,6,0
758,153,75,473,868,1066,0,3,8,0
2452,58,63,306,825,1158,0,1,6,1
1192,149,91,346,899,1237,0,3,8,1
1826,183,59,39,639,1401,1,5,4,0
1203,231,70,475,781,1173,1,5,8,1
1324,85,33,61,756,1128,2,1,5,0
1913,132,32,476,822,1008,1,2,0,0
1622,114,91,154,760,1380,1,5,7,0
457,75,46,290,670,1021,1,3,8,0
677,51,57,311,678,1489,0,4,2,1
1934,66,39,113,629,1223,2,0,2,1
1651,179,58,481,611,1377,1,3,2,0
728,245,27,63,728,1248,1,2,3,1
1821,200,53,77,678,1031,1,2,0,0
1239,220,91,178,920,1004,1,0,3,1
1247,188,94,358,724,1035,1,3,2,0
2492,153,27,216,728,1428,1,5,6,1
2152,235,48,61,849,1212,2,0,2,1
628,237,23,163,651,1130,1,2,3,0
1486,103,52,335,804,1350,0,0,5,0
2380,241,94,286,730,1242,0,5,3,1
1082,230,15,171,670,1120,2,1,3,1
1746,130,100,296,640,1179,0,0,7,1
1568,197,74,329,922,1274,1,2,0,0
1309,195,53,162,675,1281,2,4,5,0
821,68,44,183,777,1372,2,1,7,1
1716,54,39,260,636,1316,0,0,7,1
2420,81,56,459,876,1100,0,5,0,0
1524,173,17,412,871,1442,2,0,2,0
1542,212,47,466,920,1162,1,0,1,0
370,89,24,88,766,1359,1,0,8,0
2282,151,96,399,884,1168,0,4,1,1
809,148,78,474,648,1024,1,4,7,0
2452,249,100,246,723,1187,2,1,6,0
1191,243,83,442,880,1364,2,4,8,1
1059,221,86,425,838,1174,1,3,3,0
1873,103,67,415,610,1328,2,5,3,1
2269,126,49,459,917,1091,0,0,7,1
589,80,23,364,938,1449,1,5,8,1
1080,185,89,215,893,1229,2,1,7,1
1253,235,57,299,659,1480,2,5,0,1
2453,101,35,485,610,1300,0,2,2,1
668,77,32,226,814,1296,0,0,5,1
2461,179,35,208,843,1039,0,5,5,0
1709,186,98,216,839,1005,0,2,8,1
1416,236,58,478,922,1432,0,0,4,0
725,82,94,358,845,1118,0,3,1,0
2436,51,17,397,839,1241,2,3,4,0
876,124,85,393,781,1144,1,3,7,1
2180,114,19,43,674,1172,2,4,3,1
1101,73,55,317,664,1149,1,4,6,0
956,161,91,288,828,1474,1,4,5,0
2441,52,91,185,903,1191,2,2,1,1
1618,184,54,382,732,1266,1,3,0,0
1110,172,63,500,634,1342,0,2,3,0
2320,136,43,37,850,1157,2,0,2,0
918,192,54,300,757,1014,2,1,2,0
637,68,43,483,795,1169,1,2,0,1
449,109,92,29,716,1366,2,1,0,0
1426,199,34,379,815,1332,2,0,1,0
660,227,52,102,816,1253,2,4,1,0
1143,237,15,289,813,1411,0,1,1,1
