ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,trabajo,credito
7148,1390,87,589,14287,838742,0,2,3,0
6368,1026,40,855,40776,812193,2,4,4,0
6153,1061,48,767,16558,276661,2,5,0,1
7701,959,35,297,26304,221644,1,5,6,0
6404,1522,80,536,38073,387865,0,0,5,0
7451,1627,77,232,59208,287997,1,1,2,1
6081,1058,19,50,56515,742894,2,2,6,1
7605,1724,37,789,44770,184676,1,0,3,0
6539,607,116,652,56924,647897,0,0,5,1
6333,1655,103,361,24247,267293,0,2,4,1
6381,1875,36,484,56369,201780,2,3,4,0
7717,1329,119,530,49822,293853,2,0,1,1
7847,756,5,977,33984,298922,0,4,7,1
7025,1115,87,981,16470,584536,2,5,0,0
7332,586,15,776,50239,767122,0,1,6,1
6498,1725,76,915,43905,729959,0,0,8,0
7452,935,94,1183,51181,535022,1,4,4,0
6966,592,70,959,60753,141169,0,5,2,0
6321,1287,57,906,15908,220902,2,2,5,1
6804,1133,36,389,52278,133851,2,2,4,0
6728,1206,101,152,47267,291059,1,2,3,1
7656,938,70,887,9747,558931,1,2,7,1
7001,908,115,1062,16297,632393,1,0,6,0
6479,1878,18,179,48880,718628,0,2,4,1
6030,1216,51,572,43871,559993,2,2,8,1
7888,1517,84,460,15254,572779,0,2,1,1
6998,1000,91,732,40578,277314,1,3,7,1
7452,1768,7,854,54237,441030,1,4,6,0
6023,1376,94,797,10303,152198,0,0,3,1
6266,1824,59,488,17265,620261,2,0,7,0
7602,770,55,525,9575,552476,1,3,8,0
7452,1285,36,1132,40617,440340,2,1,2,1
7170,1198,57,176,50399,204255,0,0,4,0
7252,869,94,1160,59069,138622,0,0,7,1
6568,515,94,288,24047,414420,2,4,6,1
6615,664,62,340,60953,339701,0,1,2,0
7864,1729,5,146,15465,582499,2,1,3,0
7596,910,8,688,46772,234861,2,4,0,0
6652,1094,12,581,8271,801188,0,4,0,1
7787,1083,33,135,15118,294679,2,1,1,0
6725,873,49,1192,12800,742138,0,2,8,1
6842,1365,2,945,18994,801764,0,3,0,1
7328,1540,92,813,61857,140347,0,5,4,1
6632,1762,105,798,48632,487417,1,2,8,1
7325,1841,49,573,44494,807688,0,1,1,0
6146,1435,74,370,58160,438370,1,3,2,1
6176,951,7,83,21346,164945,0,1,5,1
7024,1501,43,513,45841,700498,0,0,5,1
7699,1087,107,438,47551,440810,1,1,8,0
7438,1247,34,106,11892,691687,2,1,5,0
6139,618,105,582,46001,841082,2,5,7,1
6784,739,78,666,59388,860682,0,5,6,1
7026,879,7,576,20479,760903,1,0,5,1
6487,1812,123,47,59399,139142,0,3,6,1
7801,1755,81,413,39516,696052,0,5,3,0
6821,938,35,189,39824,195794,2,4,4,0
6435,765,10,836,13680,505240,2,2,3,0
7032,824,120,545,10818,406826,2,5,7,1
7542,1725,20,555,50240,503345,1,4,7,0
6814,1720,76,1020,17887,760583,0,3,4,1
6637,1153,70,545,54202,429982,1,5,7,1
7342,1242,101,147,33787,819833,1,1,7,0
6020,594,60,479,14790,187328,0,4,1,0
7449,522,98,990,12232,623796,2,0,6,1
6369,1040,4,354,30845,602654,0,2,0,0
7095,1741,69,911,51458,543387,2,3,7,1
7812,1449,48,1118,10265,688876,2,4,5,0
7355,1760,121,664,61399,160583,0,0,3,1
6589,1223,59,1156,14901,540101,0,3,7,0
6220,1065,92,706,19085,838825,0,1,6,0
6308,1221,26,897,16151,169532,1,3,7,1
6864,1170,13,490,42184,484595,2,0,3,1
7013,1723,75,867,14259,425407,1,2,5,0
6494,1560,118,1077,56240,815405,1,2,6,1
7345,888,100,1020,52531,809771,2,3,6,0
6775,1691,101,5,35848,316481,2,0,2,0
7456,794,125,1055,41870,863718,1,2,6,0
7285,784,75,1195,43843,667344,2,4,2,1
7353,815,33,95,30413,173841,2,0,6,1
6035,1236,83,766,33080,724489,1,1,0,0
7765,1421,38,1155,30883,692439,0,3,3,1
6521,1482,7,686,59723,461469,0,5,4,1
6356,916,43,886,58144,537868,1,0,5,0
7243,1276,2,696,55643,815601,0,2,0,0
6121,979,55,567,59844,374542,1,1,6,1
6859,1722,54,1,52918,466847,1,0,6,1
6544,957,117,1095,44465,738982,1,2,5,0
7237,1604,45,424,8620,570010,0,3,7,0
7876,834,37,492,29294,173917,0,5,2,0
7586,1539,27,54,12667,484268,0,5,0,0
7297,1037,107,17,38962,865711,2,0,7,0
6898,1149,108,1017,21140,148531,1,3,6,0
6944,1233,34,727,23872,553432,1,0,0,0
7628,1617,21,427,38084,308317,1,1,8,1
6235,1072,1,170,34933,382357,1,5,1,0
7082,1609,95,795,56005,577950,0,4,4,0
7018,1019,58,187,61031,392994,0,0,2,0
7344,1736,2,1076,62400,870020,2,4,2,1
6539,1295,36,114,62231,177387,1,5,8,1
6130,1373,15,763,41036,514260,0,2,2,1
7378,766,24,1102,60321,281727,2,1,7,0
6900,1555,94,846,49211,737084,1,5,0,0
6118,1343,7,351,53073,730900,2,1,1,0
6161,523,21,841,43096,137175,0,5,0,0
6675,912,0,1094,15886,869442,0,5,3,1
6673,917,73,693,48842,624263,1,1,5,0
7786,1015,48,88,11849,854149,2,3,8,1
7674,1116,31,1008,19959,652746,2,5,7,1
6500,1303,63,214,14986,504420,0,4,8,1
7073,1818,38,628,40083,198244,1,4,8,0
7408,1083,10,353,54280,764956,0,1,8,0
6916,1834,54,1036,14729,220749,1,0,2,0
7475,1038,124,904,31012,585240,0,0,6,1
7452,1496,81,904,36142,847870,2,3,6,0
7312,872,113,928,39093,272651,0,5,8,0
6209,521,37,984,52548,235930,2,2,6,1
6713,1145,106,968,34132,339499,1,5,1,1
7191,650,102,580,15817,667509,0,2,6,1
6797,1060,54,418,55705,803324,0,4,1,1
7282,1303,72,701,13722,785075,2,3,0,0
6966,582,94,391,49427,431587,1,4,8,1
7444,1614,87,579,17150,879962,2,1,6,0
6503,1866,29,296,28340,216741,1,0,7,1
6293,932,75,42,9434,558049,2,5,8,0
7722,1235,101,727,42227,293822,2,2,5,0
6161,910,36,29,17741,780791,2,1,5,0
6695,1412,94,578,50844,792791,1,3,0,1
7111,1591,39,59,64292,871296,2,1,2,0
6454,1687,43,593,12301,629613,1,1,4,1
7878,1624,51,908,55823,231889,1,1,7,0
6519,1535,77,993,58150,394946,2,4,0,0
7106,1720,100,424,64973,750332,1,3,0,1
6667,1286,120,1159,34142,874317,1,2,1,1
6637,618,6,352,44125,655421,2,2,2,1
7057,866,52,314,38980,708929,0,2,5,1
6419,548,57,423,41168,271201,2,1,3,1
7759,1668,42,89,38125,705712,2,0,4,0
7586,1525,36,656,52520,703281,1,5,1,1
6250,905,24,1141,29608,469505,0,3,2,1
6183,1746,11,658,39426,549604,2,4,7,0
7189,1681,70,1196,42215,584420,2,0,7,1
6244,1649,93,1146,63603,221039,0,1,0,1
6341,574,14,157,23894,573698,1,2,7,1
7441,1559,122,561,35041,712213,1,2,1,0
6842,981,78,1123,26438,688187,0,3,8,0
6054,1586,106,395,56309,778370,0,2,8,0
7760,1549,25,257,17421,545690,0,5,0,0
