ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,tipo_instrumento,credito
7400,791,537,748,47951,301791,0,2,3,0
6361,816,525,729,33835,670309,2,4,4,0
7817,431,243,446,46797,389840,2,5,0,1
6009,435,597,402,38827,674609,1,5,6,0
5547,1002,457,348,21952,412634,0,0,5,0
2587,867,129,460,52990,564602,1,1,2,1
2099,961,570,514,57900,313464,2,2,6,1
6868,634,335,484,42663,168738,1,0,3,0
6194,1098,428,775,61342,175526,0,0,5,1
3989,1030,99,205,65806,624075,0,2,4,1
4754,673,277,320,17984,594737,2,3,4,0
6582,420,544,383,50384,310617,2,0,1,1
4460,513,522,574,15537,547203,0,4,7,1
5166,307,20,247,10289,497747,2,5,0,0
3008,346,390,406,49103,695489,0,1,6,1
4255,385,431,794,57626,390132,0,0,8,0
2381,694,471,339,51525,397642,1,4,4,0
3513,959,482,729,52089,431355,0,5,2,0
6048,514,577,688,53930,585449,2,2,5,1
3006,912,14,747,26032,508564,2,2,4,0
3664,518,283,454,61841,252518,1,2,3,1
4236,384,84,483,46413,205557,1,2,7,1
7383,398,6,313,21838,424769,1,0,6,0
6180,341,356,286,10659,531787,0,2,4,1
2820,944,117,282,24080,448495,2,2,8,1
7187,925,136,593,39000,213342,0,2,1,1
4397,571,186,779,37004,235320,1,3,7,1
5672,387,573,245,17653,663664,1,4,6,0
4451,871,115,270,22153,513627,0,0,3,1
2023,719,159,577,52275,445148,2,0,7,0
2818,527,385,438,65499,173590,1,3,8,0
7179,719,446,459,49351,647934,2,1,2,1
3901,243,81,633,38612,382238,0,0,4,0
2398,482,270,233,17948,247954,0,0,7,1
2219,461,501,448,18812,441845,2,4,6,1
7939,1081,532,706,11729,574216,0,1,2,0
7260,681,492,576,22510,493760,2,1,3,0
4048,272,181,514,21213,293082,2,4,0,0
5342,610,124,799,44621,279461,0,4,0,1
6696,714,33,229,61196,164702,2,1,1,0
2263,788,230,394,50632,504978,0,2,8,1
2133,1058,565,686,46501,490393,0,3,0,1
2279,266,400,442,48940,626982,0,5,4,1
3081,411,397,218,18409,330094,1,2,8,1
4775,902,84,354,30047,466225,0,1,1,0
4983,1028,7,380,23851,343697,1,3,2,1
7079,383,32,227,57864,328339,0,1,5,1
2221,315,28,757,42974,336292,0,0,5,1
2887,752,519,311,44109,401470,1,1,8,0
5217,930,297,339,27146,607257,2,1,5,0
5768,1024,592,511,46174,551618,2,5,7,1
2710,531,100,476,46242,628155,0,5,6,1
4454,654,506,741,10506,414467,1,0,5,1
6700,635,302,400,16690,502142,0,3,6,1
3239,371,502,799,69179,185769,0,5,3,0
5358,886,210,501,46093,323635,2,4,4,0
5237,215,187,777,51350,588004,2,2,3,0
7968,598,304,373,35953,313129,2,5,7,1
5785,564,548,237,57982,193730,1,4,7,0
7148,1390,87,589,14287,838742,0,2,3,0
6368,1026,40,855,40776,812193,2,4,4,0
6153,1061,48,767,16558,276661,2,5,0,1
7701,959,35,297,26304,221644,1,5,6,0
6404,1522,80,536,38073,387865,0,0,5,0
7451,1627,77,232,59208,287997,1,1,2,1
6081,1058,19,50,56515,742894,2,2,6,1
7605,1724,37,789,44770,184676,1,0,3,0
6539,607,116,652,56924,647897,0,0,5,1
6333,1655,103,361,24247,267293,0,2,4,1
6381,1875,36,484,56369,201780,2,3,4,0
7717,1329,119,530,49822,293853,2,0,1,1
7847,756,5,977,33984,298922,0,4,7,1
7025,1115,87,981,16470,584536,2,5,0,0
7332,586,15,776,50239,767122,0,1,6,1
6498,1725,76,915,43905,729959,0,0,8,0
7452,935,94,1183,51181,535022,1,4,4,0
6966,592,70,959,60753,141169,0,5,2,0
6321,1287,57,906,15908,220902,2,2,5,1
6804,1133,36,389,52278,133851,2,2,4,0
6728,1206,101,152,47267,291059,1,2,3,1
7656,938,70,887,9747,558931,1,2,7,1
7001,908,115,1062,16297,632393,1,0,6,0
6479,1878,18,179,48880,718628,0,2,4,1
6030,1216,51,572,43871,559993,2,2,8,1
7888,1517,84,460,15254,572779,0,2,1,1
6998,1000,91,732,40578,277314,1,3,7,1
7452,1768,7,854,54237,441030,1,4,6,0
6023,1376,94,797,10303,152198,0,0,3,1
6266,1824,59,488,17265,620261,2,0,7,0
7602,770,55,525,9575,552476,1,3,8,0
7452,1285,36,1132,40617,440340,2,1,2,1
7170,1198,57,176,50399,204255,0,0,4,0
7252,869,94,1160,59069,138622,0,0,7,1
6568,515,94,288,24047,414420,2,4,6,1
6615,664,62,340,60953,339701,0,1,2,0
7864,1729,5,146,15465,582499,2,1,3,0
7596,910,8,688,46772,234861,2,4,0,0
6652,1094,12,581,8271,801188,0,4,0,1
7787,1083,33,135,15118,294679,2,1,1,0
6725,873,49,1192,12800,742138,0,2,8,1
6842,1365,2,945,18994,801764,0,3,0,1
7328,1540,92,813,61857,140347,0,5,4,1
6632,1762,105,798,48632,487417,1,2,8,1
7325,1841,49,573,44494,807688,0,1,1,0
6146,1435,74,370,58160,438370,1,3,2,1
6176,951,7,83,21346,164945,0,1,5,1
7024,1501,43,513,45841,700498,0,0,5,1
7699,1087,107,438,47551,440810,1,1,8,0
7438,1247,34,106,11892,691687,2,1,5,0
6139,618,105,582,46001,841082,2,5,7,1
6784,739,78,666,59388,860682,0,5,6,1
7026,879,7,576,20479,760903,1,0,5,1
6487,1812,123,47,59399,139142,0,3,6,1
7801,1755,81,413,39516,696052,0,5,3,0
6821,938,35,189,39824,195794,2,4,4,0
6435,765,10,836,13680,505240,2,2,3,0
7032,824,120,545,10818,406826,2,5,7,1
7542,1725,20,555,50240,503345,1,4,7,0
6814,1720,76,1020,17887,760583,0,3,4,1
6637,1153,70,545,54202,429982,1,5,7,1
7342,1242,101,147,33787,819833,1,1,7,0
6020,594,60,479,14790,187328,0,4,1,0
7449,522,98,990,12232,623796,2,0,6,1
6369,1040,4,354,30845,602654,0,2,0,0
7095,1741,69,911,51458,543387,2,3,7,1
7812,1449,48,1118,10265,688876,2,4,5,0
7355,1760,121,664,61399,160583,0,0,3,1
6589,1223,59,1156,14901,540101,0,3,7,0
6220,1065,92,706,19085,838825,0,1,6,0
6308,1221,26,897,16151,169532,1,3,7,1
6864,1170,13,490,42184,484595,2,0,3,1
7013,1723,75,867,14259,425407,1,2,5,0
6494,1560,118,1077,56240,815405,1,2,6,1
7345,888,100,1020,52531,809771,2,3,6,0
6775,1691,101,5,35848,316481,2,0,2,0
7456,794,125,1055,41870,863718,1,2,6,0
7285,784,75,1195,43843,667344,2,4,2,1
7353,815,33,95,30413,173841,2,0,6,1
6035,1236,83,766,33080,724489,1,1,0,0
7765,1421,38,1155,30883,692439,0,3,3,1
6521,1482,7,686,59723,461469,0,5,4,1
6356,916,43,886,58144,537868,1,0,5,0
7243,1276,2,696,55643,815601,0,2,0,0
6121,979,55,567,59844,374542,1,1,6,1
6859,1722,54,1,52918,466847,1,0,6,1
6544,957,117,1095,44465,738982,1,2,5,0
7237,1604,45,424,8620,570010,0,3,7,0
7876,834,37,492,29294,173917,0,5,2,0
7586,1539,27,54,12667,484268,0,5,0,0
7297,1037,107,17,38962,865711,2,0,7,0
6898,1149,108,1017,21140,148531,1,3,6,0
6944,1233,34,727,23872,553432,1,0,0,0
7628,1617,21,427,38084,308317,1,1,8,1
6235,1072,1,170,34933,382357,1,5,1,0
7082,1609,95,795,56005,577950,0,4,4,0
7018,1019,58,187,61031,392994,0,0,2,0
