ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,tipo_instrumento,credito
7400,791,537,748,47951,301791,0,2,3,0
6361,816,525,729,33835,670309,2,4,4,0
7817,431,243,446,46797,389840,2,5,0,1
6009,435,597,402,38827,674609,1,5,6,0
5547,402,457,348,21952,412634,0,0,5,0
2587,867,129,460,52990,564602,1,1,2,1
2099,461,570,514,57900,313464,2,2,6,1
6868,634,335,484,42663,168738,1,0,3,0
6194,498,428,775,61342,175526,0,0,5,1
3989,430,99,205,65806,624075,0,2,4,1
4754,673,277,320,17984,594737,2,3,4,0
6582,420,544,383,50384,310617,2,0,1,1
4460,513,522,574,15537,547203,0,4,7,1
3008,346,390,406,49103,695489,0,1,6,1
4255,385,431,794,57626,390132,0,0,8,0
2381,694,471,339,51525,397642,1,4,4,0
6048,514,577,688,53930,585449,2,2,5,1
3006,912,14,747,26032,508564,2,2,4,0
3664,518,283,454,61841,252518,1,2,3,1
7383,398,6,313,21838,424769,1,0,6,0
6180,341,356,286,10659,531787,0,2,4,1
2820,944,117,282,24080,448495,2,2,8,1
4397,571,186,779,37004,235320,1,3,7,1
5672,387,573,245,17653,663664,1,4,6,0
4451,871,115,270,22153,513627,0,0,3,1
2818,527,385,438,65499,173590,1,3,8,0
7001,908,115,1062,16297,632393,1,0,6,0
6479,1878,18,179,48880,718628,0,2,4,1
6030,1216,51,572,43871,55993,2,2,8,1
6487,1812,123,47,59399,139142,0,3,6,1
7801,1755,81,413,39516,696052,0,5,3,0
6821,938,35,189,39824,195794,2,4,4,0
6435,765,10,836,13680,505240,2,2,3,0
7032,824,120,545,10818,406826,2,5,7,1
7542,1725,20,555,50240,503345,1,4,7,0
6814,1720,76,1020,17887,760583,0,3,4,1
6637,1153,70,545,54202,429982,1,5,7,1
7342,1242,101,147,33787,81833,1,1,7,0
6544,957,117,1095,44465,78982,1,2,5,0
7237,1604,45,424,8620,570010,0,3,7,0
7876,834,37,492,29294,173917,0,5,2,1
7586,1539,27,54,12667,484268,0,5,0,0
7786,1015,128,88,11849,854149,2,3,8,1
7674,1116,661,1008,19959,652746,2,5,7,1
6500,1303,63,214,14986,504420,0,4,8,1
7073,1818,388,628,40083,198244,1,4,8,0
6000,1000,0,600,50000,400000,0,2,2,1
6745,944,123,429,43240,636897,1,3,6,0
6455,1033,98,795,57463,321779,2,1,8,1
7098,1278,15,254,54506,660933,0,0,3,0
6167,863,223,520,41512,348932,0,0,3,1
5036,201,207,490,19646,594669,0,5,4,1
3723,206,197,304,32083,356379,0,3,5,0
3647,207,213,505,62967,637918,0,5,5,1
7398,214,471,497,11479,337340,1,0,0,1
5237,215,187,777,51350,588004,2,2,3,0
7485,218,392,622,68839,252851,2,2,5,0
6158,221,259,223,14361,543454,2,5,5,0
7460,223,314,237,15006,695495,1,3,7,1
5459,229,426,247,39568,479824,0,3,8,0
2446,230,214,651,55756,524683,1,0,1,1
6367,242,106,270,39191,305916,1,1,1,1
6520,242,450,745,19040,652100,2,3,0,1
3901,243,81,633,38612,382238,0,0,4,0
5145,243,586,668,69291,282892,0,0,2,0
6553,245,299,256,41085,359898,2,4,0,0
4929,248,128,259,35398,578173,0,2,6,1
2081,248,240,439,50266,429649,0,3,8,1
7738,248,433,419,16009,626309,0,3,4,1
3242,258,468,426,13702,392429,1,1,2,0
6796,259,89,682,66226,608350,2,2,7,1
2279,266,400,442,48940,626982,0,5,4,1
4048,272,181,514,21213,293082,2,4,0,0
6527,274,308,270,32362,642442,0,1,0,1
5601,277,199,414,55406,553329,2,1,7,0
2912,279,168,772,16383,273742,2,5,4,0
4764,288,502,552,25189,595866,2,4,5,0
4536,289,258,651,34894,586059,1,3,0,1
5784,298,84,700,12246,443161,0,5,2,0
5381,305,362,636,43263,530117,2,3,5,0
5667,305,98,235,17941,449399,2,4,2,1
5166,307,20,247,10289,497747,2,5,0,0
6237,314,212,592,51007,217324,1,5,4,0
2221,315,28,757,42974,336292,0,0,5,1
5012,323,161,774,36297,167258,0,0,8,1
2068,339,379,397,46513,465672,2,4,2,1
4049,339,37,483,62457,588397,2,4,1,0
6180,341,356,286,10659,531787,0,2,4,1
7558,342,454,317,68686,295060,2,1,1,0
3864,343,217,794,37809,198974,0,0,8,0
2213,345,583,683,62877,640091,1,5,1,1
3008,346,390,406,49103,695489,0,1,6,1
6736,351,205,571,32291,568944,1,2,5,0
7694,353,117,529,47132,428039,2,0,6,1
4583,354,70,553,26623,337314,2,0,4,0
6140,355,544,768,48992,291895,0,5,6,1
4688,358,585,312,24092,427091,2,3,3,0
3609,359,558,464,60781,603446,2,3,2,0
6642,362,187,208,19750,675474,0,1,8,0
3657,364,488,405,30514,436041,1,2,6,1
7084,369,79,503,55463,455536,2,5,1,1
4374,370,69,534,12054,180976,1,0,2,0
3239,371,502,799,69179,185769,0,5,3,0
7392,382,154,429,10713,660812,0,0,3,1
7079,383,32,227,57864,328339,0,1,5,1
4236,384,84,483,46413,205557,1,2,7,1
7813,384,575,257,20262,582299,2,1,3,1
4255,385,431,794,57626,390132,0,0,8,0
5310,385,438,718,30424,272723,0,3,8,1
5672,387,573,245,17653,663664,1,4,6,0
3731,1045,320,304,39448,349870,0,0,1,0
4736,947,21,647,26689,212121,2,3,7,1
4433,1374,337,538,11171,380195,1,1,7,0
4909,1424,323,610,16475,341337,0,0,1,0
3105,559,318,690,31271,317379,1,3,8,0
2138,449,228,617,13923,398611,0,0,1,0
2274,728,161,378,26207,196232,2,1,6,0
2032,569,348,513,17902,209280,2,1,8,0
3361,1008,63,746,25404,254237,0,0,3,0
3043,578,290,460,28647,229343,2,1,5,0
3473,660,107,428,25235,182365,0,0,4,1
3162,822,64,453,26270,216440,2,2,6,0
4473,1208,308,684,23830,281640,1,1,8,0
2937,705,437,405,13268,177774,2,1,7,0
4553,1502,18,745,28731,301332,1,1,8,0
3733,821,188,514,15647,365570,0,0,1,0
2409,554,392,435,29014,298841,2,3,8,0
2369,474,131,438,19537,203052,0,0,1,0
4503,1441,224,685,26001,289485,2,4,8,0
4606,1336,54,532,10319,365449,1,3,6,0
3806,761,198,524,21906,266681,2,0,2,0
3218,611,222,341,39174,330991,2,1,6,0
4927,1429,141,398,33863,279323,0,0,3,0
3784,1173,448,394,17709,176553,2,0,0,0
3437,687,56,623,11642,393544,2,0,2,0
4648,1116,419,686,24874,191190,1,3,8,1
4799,1344,205,339,11116,240479,2,3,6,1
3976,1153,394,366,11697,218574,1,0,3,0
3299,627,155,526,11972,220179,2,4,8,0
4224,972,428,718,18604,316114,1,1,6,0
3000,600,200,398,27572,254359,0,0,2,0
2828,707,364,631,36993,394390,0,0,0,0
2825,904,247,693,16953,257331,2,2,7,0
4426,1328,152,480,11593,245454,2,1,7,1
4532,816,224,383,13921,245131,0,0,2,1
2448,636,158,638,32723,362523,0,0,4,0
4517,1310,89,529,25960,227634,2,2,6,1
4505,1171,343,627,37943,266595,0,0,4,0
3080,585,285,521,16260,377254,0,0,4,0
3543,992,91,372,30918,327691,1,4,6,0
2039,387,258,362,25537,210701,0,0,4,0
3437,687,201,735,21260,339501,2,2,5,0
6500,1100,0,700,55000,380000,2,1,5,1
6332,1266,32,252,55641,665167,1,0,3,0
7289,1458,209,243,41233,488643,2,1,5,1
5552,999,338,564,52012,385908,2,2,8,1
7420,1336,243,660,39328,655720,2,0,4,0
6205,1179,240,729,56904,661009,0,0,2,0
