ingresos;gastos_comunes;pago_clases;gastos_otros;ahorros;instrumento;estado_civil;hijos;trabajo;credito
7643997;514818;308424;125528;33397204;68028200;8;2;89;0
8359818;313827;355755;262222;33252692;67190639;7;2;52;0
9400046;560398;375481;162735;39719072;67248411;8;0;93;0
8825041;473891;348383;254407;44250571;53853358;7;2;142;0
5653363;418434;368373;275186;47864520;64052079;8;0;128;1
7176978;467675;436802;258940;37652360;57400254;6;3;75;1
8481468;546269;384286;275129;35718176;56433584;8;0;138;0
5950009;435411;350324;264173;32443600;67139756;6;3;81;0
7707421;451157;358276;256345;42179955;67202011;6;3;58;0
7949088;431083;332136;208170;45128805;59862472;6;2;104;0
7417925;410046;450110;139279;32048691;63399884;8;3;67;0
8673200;390401;422922;235601;26122448;66926095;8;2;132;1
8722644;310785;333792;187007;40217339;54879659;6;1;111;1
7665427;577749;445840;248727;45948449;52281765;7;1;120;0
6467224;511045;377903;239706;25125253;53452155;7;3;99;0
8855036;574973;344000;196289;36943318;54691754;8;2;113;0
5962267;383503;312921;250016;47429602;57016735;8;2;90;1
9260208;530966;320059;167300;43609395;64750997;6;3;113;1
6883381;386030;403856;180259;34814293;53903942;6;3;126;1
7658344;397796;342196;276738;43216701;65946838;8;1;105;1
9384164;412278;387643;128720;31311642;60212759;6;3;54;0
7564002;524537;328135;231952;44533292;58082378;8;2;113;0
6904204;543639;433744;166360;32643602;57164497;8;1;53;0
7329008;349916;350504;201012;28931064;58466794;8;3;144;0
6457931;560659;359878;175994;40467709;66173985;7;2;145;1
5153495;404579;389049;146923;37041007;54690993;7;2;146;1
8023393;394218;391941;263292;25660073;60485059;7;3;94;0
5617105;550958;412270;123032;26726995;56877429;7;2;83;1
7919484;531512;449390;150448;27396773;67415433;7;1;60;1
6726201;348737;391967;227747;38351731;56165224;8;1;120;1
6405350;454989;402411;130640;42247863;62356318;6;0;70;0
7453035;425245;363350;243122;45926302;58051224;8;3;99;1
9060608;302767;414856;181910;33715372;66772548;6;2;55;0
5560767;361267;349392;143728;38827520;57659994;7;1;91;0
9195900;592124;439180;133872;33781367;56045946;7;0;119;1
5851623;413213;324851;212354;43226343;54260875;6;2;59;0
8786088;535174;383029;130904;35283212;52101127;7;3;99;1
6352122;490404;343734;214963;29674525;55817421;6;0;52;0
5778231;550782;407354;239700;34335746;60213958;6;2;145;1
7286281;527840;337440;164783;46775355;66011811;8;3;128;1
5910104;307217;399755;252370;39567388;61850837;7;0;102;1
8576931;444841;336614;246889;41599396;59648881;6;3;91;0
5200540;318057;325117;202851;42373152;54267309;7;0;113;1
5062481;422255;357439;252839;46875474;66470227;6;0;57;1
6855685;564653;371431;227930;44659398;58542834;6;1;110;0
9391096;524125;394567;150044;25345365;63248684;7;0;131;0
9058690;389795;301998;128170;33009134;52563478;6;0;151;0
8786712;551006;394164;169790;42241333;68220683;6;2;145;1
9295285;319317;353576;259146;30990130;61370503;6;3;110;0
8983646;486091;430902;196859;39971235;52914828;6;2;74;1
6453307;431300;326294;277446;35343564;64339557;7;3;57;1
7038182;386963;320915;269481;38227516;65124661;6;0;123;0
7496089;584044;418168;245248;38341718;68488299;6;1;102;1
9029249;513982;439484;190063;33163345;57360984;6;1;117;0
6640442;584184;402234;159628;35925098;67033336;7;1;57;0
6921831;553561;421573;221280;42030165;63624260;6;1;130;0
7399631;363594;366421;193109;44459237;67129908;8;0;104;1
6988220;396668;318094;259150;41796109;65225131;6;0;57;0
7860728;560057;358780;225900;44841392;54335568;6;0;68;0
5775228;552269;438997;192827;28612783;58724740;8;1;116;1
5902940;595325;303593;210924;41297591;61287378;8;2;141;1
9294847;334484;443694;147103;32316319;60780749;8;2;134;0
9597321;363591;388714;200133;32540000;52633198;7;0;54;0
8287899;437250;431126;238272;39387901;67488680;7;3;101;0
8827781;518544;304983;256454;29673394;58447186;7;1;135;1
5009246;590179;320317;236059;34269085;55464837;6;2;139;0
5907665;536814;339201;220398;27175429;54595740;8;0;146;0
6083436;383859;392619;266896;35291456;53741916;7;3;54;0
6973983;591954;329837;135426;43268944;62722475;7;0;128;0
6697837;544372;325986;263111;25076151;59522608;8;0;140;1
5447944;418407;411024;246200;36917483;58696136;8;2;55;0
8183945;358911;343559;218263;28589294;58754251;8;1;85;0
7360466;517535;355448;231511;36846791;59301481;6;2;122;1
6397132;568279;322925;205520;43697259;60250027;6;2;74;0
7375075;320960;351493;240200;26355918;60059363;7;2;124;0
9461216;332046;410702;167631;34237830;53420658;8;2;99;0
9633337;374468;359248;226775;37064265;63257261;8;0;126;1
6821737;363531;423128;257006;34263753;62914277;6;3;66;0
5615192;461558;353434;183843;28578481;56614253;6;3;145;0
5640388;558256;442734;254051;45902751;68376828;7;2;97;0
6340604;485348;451921;151753;39644234;53241578;8;0;71;1
5944201;503053;448317;242095;36692850;57275097;7;2;94;1
9590021;508646;362855;235350;44166232;58983435;6;0;105;0
8967541;338213;407927;269929;28959538;58289476;6;0;53;1
9056681;379819;323696;202977;26283325;57497491;8;0;144;1
8239262;599673;428538;262398;43153710;66805508;7;2;118;1
6188325;305341;380605;207849;37554026;60001290;6;2;89;1
5289862;377655;303092;257311;33180643;68241121;7;0;118;0
9721961;337090;376665;149795;45772794;65412304;6;1;70;0
8319866;391151;379046;180842;47861692;67524109;6;1;87;1
5946386;502032;420307;273681;42792196;55295209;8;1;78;1
9129251;460590;425711;145897;43313739;61706335;7;1;63;0
7387753;417076;314671;281878;44415439;65009209;7;0;131;1
9676764;518009;430954;273538;27443686;64369008;6;0;152;0
6038203;305799;389872;262341;40018703;66703532;7;1;123;0
6368058;594312;325996;213741;44183966;54114627;7;3;59;1
6738583;577087;385918;193122;42238587;54951543;7;2;118;0
7429578;444940;443070;163390;26308358;60588839;7;1;93;1
9405979;491365;353790;250212;40435643;57535111;8;2;143;0
8941057;383580;391330;146804;46450513;61262106;6;1;68;0
6786515;307728;340591;170804;31728469;63423753;6;1;50;1
